question,correct_answers,question_type
221000 × 244 =,5.3924e+07;2.6962e+05,numerical_tolerance
3.42 x 10<sup>8</sup> × 7.0 x 10<sup>8</sup> =,2.394e+17;1.197e+15,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{2.0\times10^2}{3.93\times10^-9}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B2.0%5Ctimes10%5E2%7D%7B3.93%5Ctimes10%5E-9%7D%3D?scale=1.5"" alt=""LaTeX: \frac{2.0\times10^2}{3.93\times10^-9}="" data-equation-content=""\frac{2.0\times10^2}{3.93\times10^-9}="" data-ignore-a11y-check=""""></mattext>",5.0891e+10;2.5445e+08,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.021}{0.139}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.021%7D%7B0.139%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.021}{0.139}="" data-equation-content=""\frac{0.021}{0.139}="" data-ignore-a11y-check=""""></mattext>",0.15108;0.0007554,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.0000011}{0.0000155}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.0000011%7D%7B0.0000155%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.0000011}{0.0000155}="" data-equation-content=""\frac{0.0000011}{0.0000155}="" data-ignore-a11y-check=""""></mattext>",0.070968;0.00035484,numerical_tolerance
2.3 x 10<sup>8</sup> × 1.12 x 10<sup>8</sup> =,2.576e+16;1.288e+14,numerical_tolerance
5.50 × 18 =,99;0.495,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{473}{6.05\times10^-9}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B473%7D%7B6.05%5Ctimes10%5E-9%7D%3D?scale=1.5"" alt=""LaTeX: \frac{473}{6.05\times10^-9}="" data-equation-content=""\frac{473}{6.05\times10^-9}="" data-ignore-a11y-check=""""></mattext>",7.8182e+10;3.9091e+08,numerical_tolerance
36200 × 0.334 =,12091;60.454,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{170000}{0.000509}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B170000%7D%7B0.000509%7D%3D?scale=1.5"" alt=""LaTeX: \frac{170000}{0.000509}="" data-equation-content=""\frac{170000}{0.000509}="" data-ignore-a11y-check=""""></mattext>",3.3399e+08;1.6699e+06,numerical_tolerance
1300 × 0.089 =,115.7;0.5785,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{560}{1200}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B560%7D%7B1200%7D%3D?scale=1.5"" alt=""LaTeX: \frac{560}{1200}="" data-equation-content=""\frac{560}{1200}="" data-ignore-a11y-check=""""></mattext>",0.46667;0.0023333,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{1.2\times10^8}{3.3\times10^-8}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B1.2%5Ctimes10%5E8%7D%7B3.3%5Ctimes10%5E-8%7D%3D?scale=1.5"" alt=""LaTeX: \frac{1.2\times10^8}{3.3\times10^-8}="" data-equation-content=""\frac{1.2\times10^8}{3.3\times10^-8}="" data-ignore-a11y-check=""""></mattext>",3.6364e+15;1.8182e+13,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{5.31\times10^7}{9.81\times10^-8}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B5.31%5Ctimes10%5E7%7D%7B9.81%5Ctimes10%5E-8%7D%3D?scale=1.5"" alt=""LaTeX: \frac{5.31\times10^7}{9.81\times10^-8}="" data-equation-content=""\frac{5.31\times10^7}{9.81\times10^-8}="" data-ignore-a11y-check=""""></mattext>",5.4128e+14;2.7064e+12,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{27.2}{0.000191}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B27.2%7D%7B0.000191%7D%3D?scale=1.5"" alt=""LaTeX: \frac{27.2}{0.000191}="" data-equation-content=""\frac{27.2}{0.000191}="" data-ignore-a11y-check=""""></mattext>",1.4241e+05;712.04,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{7.13\times10^8}{9300}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B7.13%5Ctimes10%5E8%7D%7B9300%7D%3D?scale=1.5"" alt=""LaTeX: \frac{7.13\times10^8}{9300}="" data-equation-content=""\frac{7.13\times10^8}{9300}="" data-ignore-a11y-check=""""></mattext>",76667;383.33,numerical_tolerance
967000 × 7.7 x 10<sup>6</sup> =,7.4459e+12;3.723e+10,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{54000}{25}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B54000%7D%7B25%7D%3D?scale=1.5"" alt=""LaTeX: \frac{54000}{25}="" data-equation-content=""\frac{54000}{25}="" data-ignore-a11y-check=""""></mattext>",2160;10.8,numerical_tolerance
3.41 x 10<sup>6</sup> × 43200 =,1.4731e+11;7.3656e+08,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{2.49\times10^7}{1.0\times10^-9}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B2.49%5Ctimes10%5E7%7D%7B1.0%5Ctimes10%5E-9%7D%3D?scale=1.5"" alt=""LaTeX: \frac{2.49\times10^7}{1.0\times10^-9}="" data-equation-content=""\frac{2.49\times10^7}{1.0\times10^-9}="" data-ignore-a11y-check=""""></mattext>",2.49e+16;1.245e+14,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{2700}{7.99\times10^-8}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B2700%7D%7B7.99%5Ctimes10%5E-8%7D%3D?scale=1.5"" alt=""LaTeX: \frac{2700}{7.99\times10^-8}="" data-equation-content=""\frac{2700}{7.99\times10^-8}="" data-ignore-a11y-check=""""></mattext>",3.3792e+10;1.6896e+08,numerical_tolerance
0.000148 × 640000 =,94.72;0.4736,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{520000}{0.000013}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B520000%7D%7B0.000013%7D%3D?scale=1.5"" alt=""LaTeX: \frac{520000}{0.000013}="" data-equation-content=""\frac{520000}{0.000013}="" data-ignore-a11y-check=""""></mattext>",4e+10;2e+08,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{1.44}{4.88\times10^-8}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B1.44%7D%7B4.88%5Ctimes10%5E-8%7D%3D?scale=1.5"" alt=""LaTeX: \frac{1.44}{4.88\times10^-8}="" data-equation-content=""\frac{1.44}{4.88\times10^-8}="" data-ignore-a11y-check=""""></mattext>",2.9508e+07;1.4754e+05,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{4.66\times10^6}{480000}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B4.66%5Ctimes10%5E6%7D%7B480000%7D%3D?scale=1.5"" alt=""LaTeX: \frac{4.66\times10^6}{480000}="" data-equation-content=""\frac{4.66\times10^6}{480000}="" data-ignore-a11y-check=""""></mattext>",9.7083;0.048542,numerical_tolerance
113000 × 15 =,1.695e+06;8475,numerical_tolerance
7.3 x 10<sup>6</sup> × 0.188 =,1.3724e+06;6862,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.274}{1.02\times10^-8}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.274%7D%7B1.02%5Ctimes10%5E-8%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.274}{1.02\times10^-8}="" data-equation-content=""\frac{0.274}{1.02\times10^-8}="" data-ignore-a11y-check=""""></mattext>",2.6863e+07;1.3431e+05,numerical_tolerance
0.079 × 7.2 x 10<sup>7</sup> =,5.688e+06;28440,numerical_tolerance
1.5 x 10<sup>7</sup> × 733000 =,1.0995e+13;5.4975e+10,numerical_tolerance
851 × 5.0 x 10<sup>4</sup> =,4.255e+07;2.1275e+05,numerical_tolerance
934 × 12000 =,1.1208e+07;56040,numerical_tolerance
8250 × 0.321 =,2648.2;13.241,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{2.9\times10^-9}{2.73\times10^-9}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B2.9%5Ctimes10%5E-9%7D%7B2.73%5Ctimes10%5E-9%7D%3D?scale=1.5"" alt=""LaTeX: \frac{2.9\times10^-9}{2.73\times10^-9}="" data-equation-content=""\frac{2.9\times10^-9}{2.73\times10^-9}="" data-ignore-a11y-check=""""></mattext>",1.0623;0.0053114,numerical_tolerance
2.9 x 10<sup>8</sup> × 3.28 x 10<sup>-8</sup> =,9.512;0.04756,numerical_tolerance
904000 × 1.2 =,1.0848e+06;5424,numerical_tolerance
5.50 x 10<sup>3</sup> × 0.688 =,3784;18.92,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.00000227}{0.00022}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.00000227%7D%7B0.00022%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.00000227}{0.00022}="" data-equation-content=""\frac{0.00000227}{0.00022}="" data-ignore-a11y-check=""""></mattext>",0.010318;5.1591e-05,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.0969}{0.691}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.0969%7D%7B0.691%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.0969}{0.691}="" data-equation-content=""\frac{0.0969}{0.691}="" data-ignore-a11y-check=""""></mattext>",0.14023;0.00070116,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{1.1\times10^7}{0.00237}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B1.1%5Ctimes10%5E7%7D%7B0.00237%7D%3D?scale=1.5"" alt=""LaTeX: \frac{1.1\times10^7}{0.00237}="" data-equation-content=""\frac{1.1\times10^7}{0.00237}="" data-ignore-a11y-check=""""></mattext>",4.6414e+09;2.3207e+07,numerical_tolerance
266000 × 0.0000079 =,2.1014;0.010507,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.0000357}{0.00000142}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.0000357%7D%7B0.00000142%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.0000357}{0.00000142}="" data-equation-content=""\frac{0.0000357}{0.00000142}="" data-ignore-a11y-check=""""></mattext>",25.141;0.1257,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{4.4\times10^7}{0.0171}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B4.4%5Ctimes10%5E7%7D%7B0.0171%7D%3D?scale=1.5"" alt=""LaTeX: \frac{4.4\times10^7}{0.0171}="" data-equation-content=""\frac{4.4\times10^7}{0.0171}="" data-ignore-a11y-check=""""></mattext>",2.5731e+09;1.2865e+07,numerical_tolerance
8.10 x 10<sup>6</sup> × 4.7 x 10<sup>-9</sup> =,0.03807;0.00019035,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{2.33\times10^6}{86000}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B2.33%5Ctimes10%5E6%7D%7B86000%7D%3D?scale=1.5"" alt=""LaTeX: \frac{2.33\times10^6}{86000}="" data-equation-content=""\frac{2.33\times10^6}{86000}="" data-ignore-a11y-check=""""></mattext>",27.093;0.13547,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{210.}{1.8}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B210.%7D%7B1.8%7D%3D?scale=1.5"" alt=""LaTeX: \frac{210.}{1.8}="" data-equation-content=""\frac{210.}{1.8}="" data-ignore-a11y-check=""""></mattext>",116.67;0.58333,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.81}{0.00000106}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.81%7D%7B0.00000106%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.81}{0.00000106}="" data-equation-content=""\frac{0.81}{0.00000106}="" data-ignore-a11y-check=""""></mattext>",7.6415e+05;3820.8,numerical_tolerance
15 × 0.223 =,3.345;0.016725,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.0000139}{2.3\times10^-8}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.0000139%7D%7B2.3%5Ctimes10%5E-8%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.0000139}{2.3\times10^-8}="" data-equation-content=""\frac{0.0000139}{2.3\times10^-8}="" data-ignore-a11y-check=""""></mattext>",604.35;3.0217,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{13800}{0.0000029}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B13800%7D%7B0.0000029%7D%3D?scale=1.5"" alt=""LaTeX: \frac{13800}{0.0000029}="" data-equation-content=""\frac{13800}{0.0000029}="" data-ignore-a11y-check=""""></mattext>",4.7586e+09;2.3793e+07,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{1.90\times10^6}{0.000143}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B1.90%5Ctimes10%5E6%7D%7B0.000143%7D%3D?scale=1.5"" alt=""LaTeX: \frac{1.90\times10^6}{0.000143}="" data-equation-content=""\frac{1.90\times10^6}{0.000143}="" data-ignore-a11y-check=""""></mattext>",1.3287e+10;6.6434e+07,numerical_tolerance
6.7 x 10<sup>7</sup> × 0.0058 =,3.886e+05;1943,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{2.0\times10^3}{1180}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B2.0%5Ctimes10%5E3%7D%7B1180%7D%3D?scale=1.5"" alt=""LaTeX: \frac{2.0\times10^3}{1180}="" data-equation-content=""\frac{2.0\times10^3}{1180}="" data-ignore-a11y-check=""""></mattext>",1.6949;0.0084746,numerical_tolerance
0.031 × 4.9 x 10<sup>6</sup> =,1.519e+05;759.5,numerical_tolerance
1.0 x 10<sup>7</sup> × 2.32 x 10<sup>6</sup> =,2.32e+13;1.16e+11,numerical_tolerance
116000 × 2.82 x 10<sup>6</sup> =,3.2712e+11;1.6356e+09,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{1.67\times10^8}{0.000205}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B1.67%5Ctimes10%5E8%7D%7B0.000205%7D%3D?scale=1.5"" alt=""LaTeX: \frac{1.67\times10^8}{0.000205}="" data-equation-content=""\frac{1.67\times10^8}{0.000205}="" data-ignore-a11y-check=""""></mattext>",8.1463e+11;4.0732e+09,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{810000}{7.6\times10^-8}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B810000%7D%7B7.6%5Ctimes10%5E-8%7D%3D?scale=1.5"" alt=""LaTeX: \frac{810000}{7.6\times10^-8}="" data-equation-content=""\frac{810000}{7.6\times10^-8}="" data-ignore-a11y-check=""""></mattext>",1.0658e+13;5.3289e+10,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.41}{0.14}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.41%7D%7B0.14%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.41}{0.14}="" data-equation-content=""\frac{0.41}{0.14}="" data-ignore-a11y-check=""""></mattext>",2.9286;0.014643,numerical_tolerance
8.7 x 10<sup>-8</sup> × 825000 =,0.071775;0.00035887,numerical_tolerance
3230 × 52000 =,1.6796e+08;8.398e+05,numerical_tolerance
0.013 × 322000 =,4186;20.93,numerical_tolerance
4.13 x 10<sup>8</sup> × 1.3 x 10<sup>-8</sup> =,5.369;0.026845,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{7.45\times10^8}{0.00000133}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B7.45%5Ctimes10%5E8%7D%7B0.00000133%7D%3D?scale=1.5"" alt=""LaTeX: \frac{7.45\times10^8}{0.00000133}="" data-equation-content=""\frac{7.45\times10^8}{0.00000133}="" data-ignore-a11y-check=""""></mattext>",5.6015e+14;2.8008e+12,numerical_tolerance
0.00000229 × 2.2 x 10<sup>7</sup> =,50.38;0.2519,numerical_tolerance
0.0000013 × 1.5 x 10<sup>8</sup> =,195;0.975,numerical_tolerance
3.8 x 10<sup>7</sup> × 29 =,1.102e+09;5.51e+06,numerical_tolerance
50.1 × 1760 =,88176;440.88,numerical_tolerance
2.6 x 10<sup>8</sup> × 3.0 x 10<sup>8</sup> =,7.8e+16;3.9e+14,numerical_tolerance
0.00090 × 1.5 x 10<sup>7</sup> =,13500;67.5,numerical_tolerance
970000 × 6100 =,5.917e+09;2.9585e+07,numerical_tolerance
7.23 x 10<sup>7</sup> × 9.6 x 10<sup>7</sup> =,6.9408e+15;3.4704e+13,numerical_tolerance
2.05 x 10<sup>8</sup> × 3.8 x 10<sup>-7</sup> =,77.9;0.3895,numerical_tolerance
22400 × 0.054 =,1209.6;6.048,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{310000}{5.5\times10^-7}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B310000%7D%7B5.5%5Ctimes10%5E-7%7D%3D?scale=1.5"" alt=""LaTeX: \frac{310000}{5.5\times10^-7}="" data-equation-content=""\frac{310000}{5.5\times10^-7}="" data-ignore-a11y-check=""""></mattext>",5.6364e+11;2.8182e+09,numerical_tolerance
0.000201 × 784000 =,157.58;0.78792,numerical_tolerance
132 × 19000 =,2.508e+06;12540,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{30.4}{5.18\times10^-9}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B30.4%7D%7B5.18%5Ctimes10%5E-9%7D%3D?scale=1.5"" alt=""LaTeX: \frac{30.4}{5.18\times10^-9}="" data-equation-content=""\frac{30.4}{5.18\times10^-9}="" data-ignore-a11y-check=""""></mattext>",5.8687e+09;2.9344e+07,numerical_tolerance
0.00031 × 77 =,0.02387;0.00011935,numerical_tolerance
0.0000108 × 435000 =,4.698;0.02349,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{3960}{0.018}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B3960%7D%7B0.018%7D%3D?scale=1.5"" alt=""LaTeX: \frac{3960}{0.018}="" data-equation-content=""\frac{3960}{0.018}="" data-ignore-a11y-check=""""></mattext>",2.2e+05;1100,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{1.7\times10^7}{3.3\times10^8}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B1.7%5Ctimes10%5E7%7D%7B3.3%5Ctimes10%5E8%7D%3D?scale=1.5"" alt=""LaTeX: \frac{1.7\times10^7}{3.3\times10^8}="" data-equation-content=""\frac{1.7\times10^7}{3.3\times10^8}="" data-ignore-a11y-check=""""></mattext>",0.051515;0.00025758,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{4.4\times10^7}{7270}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B4.4%5Ctimes10%5E7%7D%7B7270%7D%3D?scale=1.5"" alt=""LaTeX: \frac{4.4\times10^7}{7270}="" data-equation-content=""\frac{4.4\times10^7}{7270}="" data-ignore-a11y-check=""""></mattext>",6052.3;30.261,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.076}{3.42\times10^-9}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.076%7D%7B3.42%5Ctimes10%5E-9%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.076}{3.42\times10^-9}="" data-equation-content=""\frac{0.076}{3.42\times10^-9}="" data-ignore-a11y-check=""""></mattext>",2.2222e+07;1.1111e+05,numerical_tolerance
