question,correct_answers
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 124.012191124 ± 0.201347750,124.0 ± 0.2;124.0±0.2;1.240e2 ± 2e-1;1.240e2±2e-1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.035310319 ± 0.000100111,0.03531 ± 0.00010;0.03531±0.00010;3.531e-2 ± 1.0e-4;3.531e-2±1.0e-4
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 3.749190389 ± 0.004197805,3.749 ± 0.004;3.749±0.004;3.749e0 ± 4e-3;3.749e0±4e-3
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.071089756 ± 0.000054890,0.07109 ± 0.00005;0.07109±0.00005;7.109e-2 ± 5e-5;7.109e-2±5e-5
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.011000000 ± 0.000166058,0.0110 ± 0.0002;0.0110±0.0002;1.10e-2 ± 2e-4;1.10e-2±2e-4
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 315.261944952 ± 0.139399804,315.26 ± 0.14;315.26±0.14;3.1526e2 ± 1.4e-1;3.1526e2±1.4e-1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 5.977795859 ± 0.001043849,5.9778 ± 0.0010;5.9778±0.0010;5.9778e0 ± 1.0e-3;5.9778e0±1.0e-3
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 1.474790480 ± 0.005035099,1.475 ± 0.005;1.475±0.005;1.475e0 ± 5e-3;1.475e0±5e-3
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.044586506 ± 0.000072391,0.04459 ± 0.00007;0.04459±0.00007;4.459e-2 ± 7e-5;4.459e-2±7e-5
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.035310319 ± 0.000210512,0.0353 ± 0.0002;0.0353±0.0002;3.53e-2 ± 2e-4;3.53e-2±2e-4
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.022146141 ± 0.000002667,0.022146 ± 0.000003;0.022146±0.000003;2.2146e-2 ± 3e-6;2.2146e-2±3e-6
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.027964036 ± 0.003259532,0.028 ± 0.003;0.028±0.003;2.8e-2 ± 3e-3;2.8e-2±3e-3
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.180723319 ± 0.001562378,0.181 ± 0.002;0.181±0.002;1.81e-1 ± 2e-3;1.81e-1±2e-3
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 502.660935677 ± 452.394842109,500 ± 500;500±500;5e2 ± 5e2;5e2±5e2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 249.671952822 ± 0.279546787,249.7 ± 0.3;249.7±0.3;2.497e2 ± 3e-1;2.497e2±3e-1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 19.188898329 ± 0.012303773,19.189 ± 0.012;19.189±0.012;1.9189e1 ± 1.2e-2;1.9189e1±1.2e-2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 1.474790480 ± 0.000373443,1.4748 ± 0.0004;1.4748±0.0004;1.4748e0 ± 4e-4;1.4748e0±4e-4
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.143123979 ± 0.005471103,0.143 ± 0.005;0.143±0.005;1.43e-1 ± 5e-3;1.43e-1±5e-3
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.143123979 ± 0.000024992,0.14312 ± 0.00002;0.14312±0.00002;1.4312e-1 ± 2e-5;1.4312e-1±2e-5
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 1012.000000000 ± 5.010209357,1012 ± 5;1012±5;1.012e3 ± 5e0;1.012e3±5e0
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.011000000 ± 0.000001100,0.0110000 ± 0.0000011;0.0110000±0.0000011;1.10000e-2 ± 1.1e-6;1.10000e-2±1.1e-6
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 1012.000000000 ± 67.552192282,1010 ± 70;1010±70;1.01e3 ± 7e1;1.01e3±7e1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.459432130 ± 0.000354739,0.4594 ± 0.0004;0.4594±0.0004;4.594e-1 ± 4e-4;4.594e-1±4e-4
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.113347151 ± 0.000011335,0.113347 ± 0.000011;0.113347±0.000011;1.13347e-1 ± 1.1e-5;1.13347e-1±1.1e-5
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 19.188898329 ± 0.025872215,19.19 ± 0.03;19.19±0.03;1.919e1 ± 3e-2;1.919e1±3e-2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.044586506 ± 0.000558950,0.0446 ± 0.0006;0.0446±0.0006;4.46e-2 ± 6e-4;4.46e-2±6e-4
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 19.188898329 ± 3.243419405,19 ± 3;19±3;1.9e1 ± 3e0;1.9e1±3e0
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 249.671952822 ± 11.492937369,250. ± 11;250.±11;2.50e2 ± 1.1e1;2.50e2±1.1e1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 12.035010042 ± 0.059582925,12.04 ± 0.06;12.04±0.06;1.204e1 ± 6e-2;1.204e1±6e-2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 315.261944952 ± 0.079829918,315.26 ± 0.08;315.26±0.08;3.1526e2 ± 8e-2;3.1526e2±8e-2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.022146141 ± 0.000158990,0.0221 ± 0.0002;0.0221±0.0002;2.21e-2 ± 2e-4;2.21e-2±2e-4
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 197.727905394 ± 0.050068214,197.73 ± 0.05;197.73±0.05;1.9773e2 ± 5e-2;1.9773e2±5e-2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 315.261944952 ± 0.293128112,315.3 ± 0.3;315.3±0.3;3.153e2 ± 3e-1;3.153e2±3e-1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 48.781731489 ± 0.114851657,48.78 ± 0.11;48.78±0.11;4.878e1 ± 1.1e-1;4.878e1±1.1e-1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.732529212 ± 0.023253513,0.73 ± 0.02;0.73±0.02;7.3e-1 ± 2e-2;7.3e-1±2e-2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.044586506 ± 0.009075182,0.045 ± 0.009;0.045±0.009;4.5e-2 ± 9e-3;4.5e-2±9e-3
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 398.082735412 ± 4.990485956,398 ± 5;398±5;3.98e2 ± 5e0;3.98e2±5e0
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 634.712319273 ± 0.193539622,634.7 ± 0.2;634.7±0.2;6.347e2 ± 2e-1;6.347e2±2e-1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.228200182 ± 0.008723252,0.228 ± 0.009;0.228±0.009;2.28e-1 ± 9e-3;2.28e-1±9e-3
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 12.035010042 ± 0.011190059,12.035 ± 0.011;12.035±0.011;1.2035e1 ± 1.1e-2;1.2035e1±1.1e-2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 502.660935677 ± 11.003760019,503 ± 11;503±11;5.03e2 ± 1.1e1;5.03e2±1.1e1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 249.671952822 ± 50.818477986,250 ± 50;250±50;2.5e2 ± 5e1;2.5e2±5e1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 1012.000000000 ± 81.346388129,1010 ± 80;1010±80;1.01e3 ± 8e1;1.01e3±8e1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 38.632731790 ± 0.014185584,38.633 ± 0.014;38.633±0.014;3.8633e1 ± 1.4e-2;3.8633e1±1.4e-2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.089765368 ± 0.000211343,0.0898 ± 0.0002;0.0898±0.0002;8.98e-2 ± 2e-4;8.98e-2±2e-4
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 1012.000000000 ± 0.940949754,1012.0 ± 0.9;1012.0±0.9;1.0120e3 ± 9e-1;1.0120e3±9e-1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.732529212 ± 0.003626605,0.733 ± 0.004;0.733±0.004;7.33e-1 ± 4e-3;7.33e-1±4e-3
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.089765368 ± 0.000776034,0.0898 ± 0.0008;0.0898±0.0008;8.98e-2 ± 8e-4;8.98e-2±8e-4
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 15.196663584 ± 0.024673494,15.20 ± 0.02;15.20±0.02;1.520e1 ± 2e-2;1.520e1±2e-2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.089765368 ± 0.000175505,0.0898 ± 0.0002;0.0898±0.0002;8.98e-2 ± 2e-4;8.98e-2±2e-4
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.143123979 ± 0.106968544,0.14 ± 0.11;0.14±0.11;1.4e-1 ± 1.1e-1;1.4e-1±1.1e-1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 2.969174367 ± 0.030910524,2.97 ± 0.03;2.97±0.03;2.97e0 ± 3e-2;2.97e0±3e-2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 2.969174367 ± 0.002292571,2.969 ± 0.002;2.969±0.002;2.969e0 ± 2e-3;2.969e0±2e-3
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 156.590774934 ± 0.027344038,156.59 ± 0.03;156.59±0.03;1.5659e2 ± 3e-2;1.5659e2±3e-2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.143123979 ± 0.000488641,0.1431 ± 0.0005;0.1431±0.0005;1.431e-1 ± 5e-4;1.431e-1±5e-4
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.044586506 ± 0.000023741,0.04459 ± 0.00002;0.04459±0.00002;4.459e-2 ± 2e-5;4.459e-2±2e-5
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 398.082735412 ± 31.998609390,4.0e2 ± 30;4.0e2±30;4.0e2 ± 3e1;4.0e2±3e1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 19.188898329 ± 0.031155336,19.19 ± 0.03;19.19±0.03;1.919e1 ± 3e-2;1.919e1±3e-2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 156.590774934 ± 31.872642317,160 ± 30;160±30;1.6e2 ± 3e1;1.6e2±3e1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.459432130 ± 0.000116336,0.45943 ± 0.00012;0.45943±0.00012;4.5943e-1 ± 1.2e-4;4.5943e-1±1.2e-4
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 5.977795859 ± 0.051678860,5.98 ± 0.05;5.98±0.05;5.98e0 ± 5e-2;5.98e0±5e-2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 124.012191124 ± 9.968323945,124 ± 10.;124±10.;1.24e2 ± 1.0e1;1.24e2±1.0e1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 48.781731489 ± 1.285943872,48.8 ± 1.3;48.8±1.3;4.88e1 ± 1.3e0;4.88e1±1.3e0
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 4.734120275 ± 0.006382971,4.734 ± 0.006;4.734±0.006;4.734e0 ± 6e-3;4.734e0±6e-3
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 38.632731790 ± 34.769458611,40 ± 30;40±30;4e1 ± 3e1;4e1±3e1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 12.035010042 ± 0.218783016,12.0 ± 0.2;12.0±0.2;1.20e1 ± 2e-1;1.20e1±2e-1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 48.781731489 ± 2.245528096,49 ± 2;49±2;4.9e1 ± 2e0;4.9e1±2e0
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 1.474790480 ± 0.361477315,1.5 ± 0.4;1.5±0.4;1.5e0 ± 4e-1;1.5e0±4e-1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 19.188898329 ± 0.037517274,19.19 ± 0.04;19.19±0.04;1.919e1 ± 4e-2;1.919e1±4e-2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.044586506 ± 0.000104974,0.04459 ± 0.00010;0.04459±0.00010;4.459e-2 ± 1.0e-4;4.459e-2±1.0e-4
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 3.749190389 ± 0.250262876,3.7 ± 0.3;3.7±0.3;3.7e0 ± 3e-1;3.7e0±3e-1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 24.229911852 ± 0.047373237,24.23 ± 0.05;24.23±0.05;2.423e1 ± 5e-2;2.423e1±5e-2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.228200182 ± 0.008723252,0.228 ± 0.009;0.228±0.009;2.28e-1 ± 9e-3;2.28e-1±9e-3
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 249.671952822 ± 35.044833450,250 ± 40;250±40;2.5e2 ± 4e1;2.5e2±4e1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 98.211555272 ± 0.278446312,98.2 ± 0.3;98.2±0.3;9.82e1 ± 3e-1;9.82e1±3e-1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.228200182 ± 0.000212179,0.2282 ± 0.0002;0.2282±0.0002;2.282e-1 ± 2e-4;2.282e-1±2e-4
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.011000000 ± 0.000010228,0.011000 ± 0.000010;0.011000±0.000010;1.1000e-2 ± 1.0e-5;1.1000e-2±1.0e-5
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 98.211555272 ± 0.075831506,98.21 ± 0.08;98.21±0.08;9.821e1 ± 8e-2;9.821e1±8e-2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.071089756 ± 0.000079596,0.07109 ± 0.00008;0.07109±0.00008;7.109e-2 ± 8e-5;7.109e-2±8e-5
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.288149439 ± 0.148512773,0.29 ± 0.15;0.29±0.15;2.9e-1 ± 1.5e-1;2.9e-1±1.5e-1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 48.781731489 ± 17.338263033,50 ± 20;50±20;5e1 ± 2e1;5e1±2e1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.017538654 ± 0.001170726,0.0175 ± 0.0012;0.0175±0.0012;1.75e-2 ± 1.2e-3;1.75e-2±1.2e-3
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.022146141 ± 0.001478281,0.0221 ± 0.0015;0.0221±0.0015;2.21e-2 ± 1.5e-3;2.21e-2±1.5e-3
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.022146141 ± 0.000158990,0.0221 ± 0.0002;0.0221±0.0002;2.21e-2 ± 2e-4;2.21e-2±2e-4
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.089765368 ± 0.000039692,0.08977 ± 0.00004;0.08977±0.00004;8.977e-2 ± 4e-5;8.977e-2±4e-5
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 19.188898329 ± 0.004035017,19.189 ± 0.004;19.189±0.004;1.9189e1 ± 4e-3;1.9189e1±4e-3
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 77.778720797 ± 0.023716672,77.78 ± 0.02;77.78±0.02;7.778e1 ± 2e-2;7.778e1±2e-2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 1012.000000000 ± 5.010209357,1012 ± 5;1012±5;1.012e3 ± 5e0;1.012e3±5e0
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.056299590 ± 0.001232455,0.0563 ± 0.0012;0.0563±0.0012;5.63e-2 ± 1.2e-3;5.63e-2±1.2e-3
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 7.548190846 ± 0.113949177,7.55 ± 0.11;7.55±0.11;7.55e0 ± 1.1e-1;7.55e0±1.1e-1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 1.862224851 ± 0.002510821,1.862 ± 0.003;1.862±0.003;1.862e0 ± 3e-3;1.862e0±3e-3
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 30.595223253 ± 0.556186925,30.6 ± 0.6;30.6±0.6;3.06e1 ± 6e-1;3.06e1±6e-1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 197.727905394 ± 15.893726222,2.0e2 ± 20;2.0e2±20;2.0e2 ± 2e1;2.0e2±2e1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.459432130 ± 0.002274556,0.459 ± 0.002;0.459±0.002;4.59e-1 ± 2e-3;4.59e-1±2e-3
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.180723319 ± 0.093145145,0.18 ± 0.09;0.18±0.09;1.8e-1 ± 9e-2;1.8e-1±9e-2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 15.196663584 ± 0.014129740,15.197 ± 0.014;15.197±0.014;1.5197e1 ± 1.4e-2;1.5197e1±1.4e-2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 249.671952822 ± 3.129963355,250. ± 3;250.±3;2.50e2 ± 3e0;2.50e2±3e0
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.035310319 ± 0.015112936,0.04 ± 0.02;0.04±0.02;4e-2 ± 2e-2;4e-2±2e-2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 249.671952822 ± 0.852407900,249.7 ± 0.9;249.7±0.9;2.497e2 ± 9e-1;2.497e2±9e-1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.732529212 ± 0.000987662,0.7325 ± 0.0010;0.7325±0.0010;7.325e-1 ± 9.9e-4;7.325e-1±9.9e-4
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.113347151 ± 0.000466001,0.1133 ± 0.0005;0.1133±0.0005;1.133e-1 ± 5e-4;1.133e-1±5e-4
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.017538654 ± 0.000125913,0.01754 ± 0.00013;0.01754±0.00013;1.754e-2 ± 1.3e-4;1.754e-2±1.3e-4
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 249.671952822 ± 128.681403024,250 ± 130;250±130;2.5e2 ± 1.3e2;2.5e2±1.3e2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 48.781731489 ± 25.142197908,50 ± 30;50±30;5e1 ± 3e1;5e1±3e1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 2.969174367 ± 0.136677487,2.97 ± 0.14;2.97±0.14;2.97e0 ± 1.4e-1;2.97e0±1.4e-1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 502.660935677 ± 0.105698894,502.66 ± 0.11;502.66±0.11;5.0266e2 ± 1.1e-1;5.0266e2±1.1e-1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 38.632731790 ± 1.018404291,38.6 ± 1.0;38.6±1.0;3.86e1 ± 1.0e0;3.86e1±1.0e0
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 1.167961516 ± 0.003311368,1.168 ± 0.003;1.168±0.003;1.168e0 ± 3e-3;1.168e0±3e-3
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 502.660935677 ± 27.863472774,5.0e2 ± 30;5.0e2±30;5.0e2 ± 3e1;5.0e2±3e1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.580127103 ± 0.000084124,0.58013 ± 0.00008;0.58013±0.00008;5.8013e-1 ± 8e-5;5.8013e-1±8e-5
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 2.969174367 ± 0.004820789,2.969 ± 0.005;2.969±0.005;2.969e0 ± 5e-3;2.969e0±5e-3
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.363847647 ± 0.061499649,0.36 ± 0.06;0.36±0.06;3.6e-1 ± 6e-2;3.6e-1±6e-2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 2.969174367 ± 0.001580976,2.969 ± 0.002;2.969±0.002;2.969e0 ± 2e-3;2.969e0±2e-3
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 197.727905394 ± 0.041577969,197.73 ± 0.04;197.73±0.04;1.9773e2 ± 4e-2;1.9773e2±4e-2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 4.734120275 ± 1.160352680,4.7 ± 1.2;4.7±1.2;4.7e0 ± 1.2e0;4.7e0±1.2e0
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 3.749190389 ± 0.082073597,3.75 ± 0.08;3.75±0.08;3.75e0 ± 8e-2;3.75e0±8e-2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 12.035010042 ± 0.382041099,12.0 ± 0.4;12.0±0.4;1.20e1 ± 4e-1;1.20e1±4e-1
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 398.082735412 ± 6.009546009,398 ± 6;398±6;3.98e2 ± 6e0;3.98e2±6e0
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.143123979 ± 0.000036242,0.14312 ± 0.00004;0.14312±0.00004;1.4312e-1 ± 4e-5;1.4312e-1±4e-5
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.180723319 ± 0.017493261,0.18 ± 0.02;0.18±0.02;1.8e-1 ± 2e-2;1.8e-1±2e-2
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: 0.143123979 ± 0.000133076,0.14312 ± 0.00013;0.14312±0.00013;1.4312e-1 ± 1.3e-4;1.4312e-1±1.3e-4
