question,correct_answers,question_type
"Calculate the number of moles of HOI formed by flowing a current of 8.5 A into a solution for 23 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""4e^{-}+IO_{3}^{-}+5H^{+}\leftrightarrows{}HOI+2H_{2}O"" src=""https://weber.instructure.com/equation_images/4e%5E%7B-%7D%2BIO_%7B3%7D%5E%7B-%7D%2B5H%5E%7B%2B%7D%5Cleftrightarrows%7B%7DHOI%2B2H_%7B2%7DO?scale=1.5"" alt=""LaTeX: 4e^{-}+IO_{3}^{-}+5H^{+}\leftrightarrows{}HOI+2H_{2}O"" data-equation-content=""4e^{-}+IO_{3}^{-}+5H^{+}\leftrightarrows{}HOI+2H_{2}O"" data-ignore-a11y-check=""""></mattext>",0.030;3.0e-2;3.0E-2;.030;0.03;3e-2;3E-2;.03;0.0304;3.04e-2;3.04E-2;.0304,short_answer
"Calculate the number of moles of Mn(OH)2 formed by flowing a current of 8.56 A into a solution for 22 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+Mn_{3}O_{4}(s)+2H^{+}+2H_{2}O\leftrightarrows{}3Mn(OH)_{2}"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BMn_%7B3%7DO_%7B4%7D%28s%29%2B2H%5E%7B%2B%7D%2B2H_%7B2%7DO%5Cleftrightarrows%7B%7D3Mn%28OH%29_%7B2%7D?scale=1.5"" alt=""LaTeX: 2e^{-}+Mn_{3}O_{4}(s)+2H^{+}+2H_{2}O\leftrightarrows{}3Mn(OH)_{2}"" data-equation-content=""2e^{-}+Mn_{3}O_{4}(s)+2H^{+}+2H_{2}O\leftrightarrows{}3Mn(OH)_{2}"" data-ignore-a11y-check=""""></mattext>",0.18;1.8e-1;1.8E-1;.18;0.2;2e-1;2E-1;.2;0.176;1.76e-1;1.76E-1;.176,short_answer
"Calculate the number of moles of IO3- formed by flowing a current of 7.0 A into a solution for 23 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+IO_{4}^{-}+2H^{+}\leftrightarrows{}IO_{3}^{-}+H_{2}O"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BIO_%7B4%7D%5E%7B-%7D%2B2H%5E%7B%2B%7D%5Cleftrightarrows%7B%7DIO_%7B3%7D%5E%7B-%7D%2BH_%7B2%7DO?scale=1.5"" alt=""LaTeX: 2e^{-}+IO_{4}^{-}+2H^{+}\leftrightarrows{}IO_{3}^{-}+H_{2}O"" data-equation-content=""2e^{-}+IO_{4}^{-}+2H^{+}\leftrightarrows{}IO_{3}^{-}+H_{2}O"" data-ignore-a11y-check=""""></mattext>",0.050;5.0e-2;5.0E-2;.050;0.05;5e-2;5E-2;.05;0.0501;5.01e-2;5.01E-2;.0501,short_answer
"Calculate the number of moles of Cu formed by flowing a current of 7.5 A into a solution for 17 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+Cu^{2+}\leftrightarrows{}Cu(s)"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BCu%5E%7B2%2B%7D%5Cleftrightarrows%7B%7DCu%28s%29?scale=1.5"" alt=""LaTeX: 2e^{-}+Cu^{2+}\leftrightarrows{}Cu(s)"" data-equation-content=""2e^{-}+Cu^{2+}\leftrightarrows{}Cu(s)"" data-ignore-a11y-check=""""></mattext>",0.040;4.0e-2;4.0E-2;.040;0.04;4e-2;4E-2;.04;0.0396;3.96e-2;3.96E-2;.0396,short_answer
"Calculate the number of moles of Br- formed by flowing a current of 8.0 A into a solution for 5.0 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+Br_{2}(l)\leftrightarrows{}2Br^{-}"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BBr_%7B2%7D%28l%29%5Cleftrightarrows%7B%7D2Br%5E%7B-%7D?scale=1.5"" alt=""LaTeX: 2e^{-}+Br_{2}(l)\leftrightarrows{}2Br^{-}"" data-equation-content=""2e^{-}+Br_{2}(l)\leftrightarrows{}2Br^{-}"" data-ignore-a11y-check=""""></mattext>",0.025;2.5e-2;2.5E-2;.025;0.02;2e-2;2E-2;.02;0.0249;2.49e-2;2.49E-2;.0249,short_answer
"Calculate the number of moles of BrO3- formed by flowing a current of 7.03 A into a solution for 26 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+BrO_{4}^{-}+2H^{+}\leftrightarrows{}BrO_{3}^{-}+H_{2}O"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BBrO_%7B4%7D%5E%7B-%7D%2B2H%5E%7B%2B%7D%5Cleftrightarrows%7B%7DBrO_%7B3%7D%5E%7B-%7D%2BH_%7B2%7DO?scale=1.5"" alt=""LaTeX: 2e^{-}+BrO_{4}^{-}+2H^{+}\leftrightarrows{}BrO_{3}^{-}+H_{2}O"" data-equation-content=""2e^{-}+BrO_{4}^{-}+2H^{+}\leftrightarrows{}BrO_{3}^{-}+H_{2}O"" data-ignore-a11y-check=""""></mattext>",0.057;5.7e-2;5.7E-2;.057;0.06;6e-2;6E-2;.06;0.0568;5.68e-2;5.68E-2;.0568,short_answer
"Calculate the number of moles of Fe formed by flowing a current of 4.64 A into a solution for 13.5 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+FeOH^{+}+H^{+}\leftrightarrows{}Fe(s)+H_{2}O"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BFeOH%5E%7B%2B%7D%2BH%5E%7B%2B%7D%5Cleftrightarrows%7B%7DFe%28s%29%2BH_%7B2%7DO?scale=1.5"" alt=""LaTeX: 2e^{-}+FeOH^{+}+H^{+}\leftrightarrows{}Fe(s)+H_{2}O"" data-equation-content=""2e^{-}+FeOH^{+}+H^{+}\leftrightarrows{}Fe(s)+H_{2}O"" data-ignore-a11y-check=""""></mattext>",0.0195;1.95e-2;1.95E-2;.0195;0.019;1.9e-2;1.9E-2;.019;0.01948;1.948e-2;1.948E-2;.01948,short_answer
"Calculate the number of moles of H2 formed by flowing a current of 5.51 A into a solution for 15 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+2H^{+}\leftrightarrows{}H_{2}(g)"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2B2H%5E%7B%2B%7D%5Cleftrightarrows%7B%7DH_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 2e^{-}+2H^{+}\leftrightarrows{}H_{2}(g)"" data-equation-content=""2e^{-}+2H^{+}\leftrightarrows{}H_{2}(g)"" data-ignore-a11y-check=""""></mattext>",0.026;2.6e-2;2.6E-2;.026;0.03;3e-2;3E-2;.03;0.0257;2.57e-2;2.57E-2;.0257,short_answer
"Calculate the number of moles of Ir formed by flowing a current of 7.35 A into a solution for 7.0 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""4e^{-}+IrO_{2}(s)+4H^{+}\leftrightarrows{}Ir(s)+2H_{2}O"" src=""https://weber.instructure.com/equation_images/4e%5E%7B-%7D%2BIrO_%7B2%7D%28s%29%2B4H%5E%7B%2B%7D%5Cleftrightarrows%7B%7DIr%28s%29%2B2H_%7B2%7DO?scale=1.5"" alt=""LaTeX: 4e^{-}+IrO_{2}(s)+4H^{+}\leftrightarrows{}Ir(s)+2H_{2}O"" data-equation-content=""4e^{-}+IrO_{2}(s)+4H^{+}\leftrightarrows{}Ir(s)+2H_{2}O"" data-ignore-a11y-check=""""></mattext>",0.0080;8.0e-3;8.0E-3;.0080;0.008;8e-3;8E-3;.008;0.00800;8.00e-3;8.00E-3;.00800,short_answer
"Calculate the number of moles of Br- formed by flowing a current of 3.853 A into a solution for 19 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+Br_{3}^{-}\leftrightarrows{}3Br^{-}"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BBr_%7B3%7D%5E%7B-%7D%5Cleftrightarrows%7B%7D3Br%5E%7B-%7D?scale=1.5"" alt=""LaTeX: 2e^{-}+Br_{3}^{-}\leftrightarrows{}3Br^{-}"" data-equation-content=""2e^{-}+Br_{3}^{-}\leftrightarrows{}3Br^{-}"" data-ignore-a11y-check=""""></mattext>",0.068;6.8e-2;6.8E-2;.068;0.07;7e-2;7E-2;.07;0.0683;6.83e-2;6.83E-2;.0683,short_answer
"Calculate the number of moles of Co formed by flowing a current of 6.85 A into a solution for 27.5 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+CoOH^{+}+H^{+}\leftrightarrows{}Co(s)+H_{2}O"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BCoOH%5E%7B%2B%7D%2BH%5E%7B%2B%7D%5Cleftrightarrows%7B%7DCo%28s%29%2BH_%7B2%7DO?scale=1.5"" alt=""LaTeX: 2e^{-}+CoOH^{+}+H^{+}\leftrightarrows{}Co(s)+H_{2}O"" data-equation-content=""2e^{-}+CoOH^{+}+H^{+}\leftrightarrows{}Co(s)+H_{2}O"" data-ignore-a11y-check=""""></mattext>",0.0586;5.86e-2;5.86E-2;.0586;0.059;5.9e-2;5.9E-2;.059;0.05857;5.857e-2;5.857E-2;.05857,short_answer
"Calculate the number of moles of Cr+++ formed by flowing a current of 5.9 A into a solution for 4.51 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""6e^{-}+Cr_{2}O_{7}^{2-}+14H^{+}\leftrightarrows{}2Cr^{3+}+7H_{2}O"" src=""https://weber.instructure.com/equation_images/6e%5E%7B-%7D%2BCr_%7B2%7DO_%7B7%7D%5E%7B2-%7D%2B14H%5E%7B%2B%7D%5Cleftrightarrows%7B%7D2Cr%5E%7B3%2B%7D%2B7H_%7B2%7DO?scale=1.5"" alt=""LaTeX: 6e^{-}+Cr_{2}O_{7}^{2-}+14H^{+}\leftrightarrows{}2Cr^{3+}+7H_{2}O"" data-equation-content=""6e^{-}+Cr_{2}O_{7}^{2-}+14H^{+}\leftrightarrows{}2Cr^{3+}+7H_{2}O"" data-ignore-a11y-check=""""></mattext>",0.0055;5.5e-3;5.5E-3;.0055;0.006;6e-3;6E-3;.006;0.00552;5.52e-3;5.52E-3;.00552,short_answer
"Calculate the number of moles of Hf formed by flowing a current of 6.70 A into a solution for 28.5 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""4e^{-}+HfO_{2}(s)+4H^{+}\leftrightarrows{}Hf(s)+2H_{2}O"" src=""https://weber.instructure.com/equation_images/4e%5E%7B-%7D%2BHfO_%7B2%7D%28s%29%2B4H%5E%7B%2B%7D%5Cleftrightarrows%7B%7DHf%28s%29%2B2H_%7B2%7DO?scale=1.5"" alt=""LaTeX: 4e^{-}+HfO_{2}(s)+4H^{+}\leftrightarrows{}Hf(s)+2H_{2}O"" data-equation-content=""4e^{-}+HfO_{2}(s)+4H^{+}\leftrightarrows{}Hf(s)+2H_{2}O"" data-ignore-a11y-check=""""></mattext>",0.0297;2.97e-2;2.97E-2;.0297;0.030;3.0e-2;3.0E-2;.030;0.02969;2.969e-2;2.969E-2;.02969,short_answer
"Calculate the number of moles of ClO2- formed by flowing a current of 6.2 A into a solution for 26 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""e^{-}+ClO_{2}\leftrightarrows{}ClO_{2}^{-}"" src=""https://weber.instructure.com/equation_images/e%5E%7B-%7D%2BClO_%7B2%7D%5Cleftrightarrows%7B%7DClO_%7B2%7D%5E%7B-%7D?scale=1.5"" alt=""LaTeX: e^{-}+ClO_{2}\leftrightarrows{}ClO_{2}^{-}"" data-equation-content=""e^{-}+ClO_{2}\leftrightarrows{}ClO_{2}^{-}"" data-ignore-a11y-check=""""></mattext>",0.10;1.0e-1;1.0E-1;.10;0.1;1e-1;1E-1;.1;0.100;1.00e-1;1.00E-1;.100,short_answer
"Calculate the number of moles of Al formed by flowing a current of 8.1 A into a solution for 24.3 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""3e^{-}+Al(OH)_{4}^{-}\leftrightarrows{}Al(s)+4OH^{-}"" src=""https://weber.instructure.com/equation_images/3e%5E%7B-%7D%2BAl%28OH%29_%7B4%7D%5E%7B-%7D%5Cleftrightarrows%7B%7DAl%28s%29%2B4OH%5E%7B-%7D?scale=1.5"" alt=""LaTeX: 3e^{-}+Al(OH)_{4}^{-}\leftrightarrows{}Al(s)+4OH^{-}"" data-equation-content=""3e^{-}+Al(OH)_{4}^{-}\leftrightarrows{}Al(s)+4OH^{-}"" data-ignore-a11y-check=""""></mattext>",0.041;4.1e-2;4.1E-2;.041;0.04;4e-2;4E-2;.04;0.0408;4.08e-2;4.08E-2;.0408,short_answer
"Calculate the number of moles of Ba formed by flowing a current of 4.19 A into a solution for 14 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+Ba^{2+}\leftrightarrows{}Ba(s)"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BBa%5E%7B2%2B%7D%5Cleftrightarrows%7B%7DBa%28s%29?scale=1.5"" alt=""LaTeX: 2e^{-}+Ba^{2+}\leftrightarrows{}Ba(s)"" data-equation-content=""2e^{-}+Ba^{2+}\leftrightarrows{}Ba(s)"" data-ignore-a11y-check=""""></mattext>",0.018;1.8e-2;1.8E-2;.018;0.02;2e-2;2E-2;.02;0.0182;1.82e-2;1.82E-2;.0182,short_answer
"Calculate the number of moles of Hf formed by flowing a current of 7.84 A into a solution for 9.12 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""4e^{-}+HfO_{2}(s)+4H^{+}\leftrightarrows{}Hf(s)+2H_{2}O"" src=""https://weber.instructure.com/equation_images/4e%5E%7B-%7D%2BHfO_%7B2%7D%28s%29%2B4H%5E%7B%2B%7D%5Cleftrightarrows%7B%7DHf%28s%29%2B2H_%7B2%7DO?scale=1.5"" alt=""LaTeX: 4e^{-}+HfO_{2}(s)+4H^{+}\leftrightarrows{}Hf(s)+2H_{2}O"" data-equation-content=""4e^{-}+HfO_{2}(s)+4H^{+}\leftrightarrows{}Hf(s)+2H_{2}O"" data-ignore-a11y-check=""""></mattext>",0.0111;1.11e-2;1.11E-2;.0111;0.011;1.1e-2;1.1E-2;.011;0.01112;1.112e-2;1.112E-2;.01112,short_answer
"Calculate the number of moles of Br- formed by flowing a current of 7.66 A into a solution for 7.7 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+Br_{3}^{-}\leftrightarrows{}3Br^{-}"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BBr_%7B3%7D%5E%7B-%7D%5Cleftrightarrows%7B%7D3Br%5E%7B-%7D?scale=1.5"" alt=""LaTeX: 2e^{-}+Br_{3}^{-}\leftrightarrows{}3Br^{-}"" data-equation-content=""2e^{-}+Br_{3}^{-}\leftrightarrows{}3Br^{-}"" data-ignore-a11y-check=""""></mattext>",0.055;5.5e-2;5.5E-2;.055;0.06;6e-2;6E-2;.06;0.0550;5.50e-2;5.50E-2;.0550,short_answer
"Calculate the number of moles of As formed by flowing a current of 8.60 A into a solution for 16 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""3e^{-}+H_{3}AsO_{3}+3H^{+}\leftrightarrows{}As(s)+3H_{2}O"" src=""https://weber.instructure.com/equation_images/3e%5E%7B-%7D%2BH_%7B3%7DAsO_%7B3%7D%2B3H%5E%7B%2B%7D%5Cleftrightarrows%7B%7DAs%28s%29%2B3H_%7B2%7DO?scale=1.5"" alt=""LaTeX: 3e^{-}+H_{3}AsO_{3}+3H^{+}\leftrightarrows{}As(s)+3H_{2}O"" data-equation-content=""3e^{-}+H_{3}AsO_{3}+3H^{+}\leftrightarrows{}As(s)+3H_{2}O"" data-ignore-a11y-check=""""></mattext>",0.029;2.9e-2;2.9E-2;.029;0.03;3e-2;3E-2;.03;0.0285;2.85e-2;2.85E-2;.0285,short_answer
"Calculate the number of moles of Cr formed by flowing a current of 4.65 A into a solution for 14 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""3e^{-}+Cr^{3+}\leftrightarrows{}Cr(s)"" src=""https://weber.instructure.com/equation_images/3e%5E%7B-%7D%2BCr%5E%7B3%2B%7D%5Cleftrightarrows%7B%7DCr%28s%29?scale=1.5"" alt=""LaTeX: 3e^{-}+Cr^{3+}\leftrightarrows{}Cr(s)"" data-equation-content=""3e^{-}+Cr^{3+}\leftrightarrows{}Cr(s)"" data-ignore-a11y-check=""""></mattext>",0.013;1.3e-2;1.3E-2;.013;0.01;1e-2;1E-2;.01;0.0135;1.35e-2;1.35E-2;.0135,short_answer
"Calculate the number of moles of Co formed by flowing a current of 2.375 A into a solution for 24 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+CoOH^{+}+H^{+}\leftrightarrows{}Co(s)+H_{2}O"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BCoOH%5E%7B%2B%7D%2BH%5E%7B%2B%7D%5Cleftrightarrows%7B%7DCo%28s%29%2BH_%7B2%7DO?scale=1.5"" alt=""LaTeX: 2e^{-}+CoOH^{+}+H^{+}\leftrightarrows{}Co(s)+H_{2}O"" data-equation-content=""2e^{-}+CoOH^{+}+H^{+}\leftrightarrows{}Co(s)+H_{2}O"" data-ignore-a11y-check=""""></mattext>",0.018;1.8e-2;1.8E-2;.018;0.02;2e-2;2E-2;.02;0.0177;1.77e-2;1.77E-2;.0177,short_answer
"Calculate the number of moles of Ca formed by flowing a current of 5.798 A into a solution for 10.9 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2e^{-}+Ca^{2+}\leftrightarrows{}Ca(s)"" src=""https://weber.instructure.com/equation_images/2e%5E%7B-%7D%2BCa%5E%7B2%2B%7D%5Cleftrightarrows%7B%7DCa%28s%29?scale=1.5"" alt=""LaTeX: 2e^{-}+Ca^{2+}\leftrightarrows{}Ca(s)"" data-equation-content=""2e^{-}+Ca^{2+}\leftrightarrows{}Ca(s)"" data-ignore-a11y-check=""""></mattext>",0.0196;1.96e-2;1.96E-2;.0196;0.020;2.0e-2;2.0E-2;.020;0.01965;1.965e-2;1.965E-2;.01965,short_answer
"Calculate the number of moles of Cu formed by flowing a current of 6.071 A into a solution for 9.2 minutes.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""e^{-}+Cu^{+}\leftrightarrows{}Cu(s)"" src=""https://weber.instructure.com/equation_images/e%5E%7B-%7D%2BCu%5E%7B%2B%7D%5Cleftrightarrows%7B%7DCu%28s%29?scale=1.5"" alt=""LaTeX: e^{-}+Cu^{+}\leftrightarrows{}Cu(s)"" data-equation-content=""e^{-}+Cu^{+}\leftrightarrows{}Cu(s)"" data-ignore-a11y-check=""""></mattext>",0.035;3.5e-2;3.5E-2;.035;0.03;3e-2;3E-2;.03;0.0347;3.47e-2;3.47E-2;.0347,short_answer
