question,correct_answers,question_type
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Th(NO_{3})_{4}(aq)+NaIO_{3}(aq)\leftrightarrows{}Th(IO_{3})_{4}(s)+NaNO_{3}(aq)"" src=""https://weber.instructure.com/equation_images/Th%28NO_%7B3%7D%29_%7B4%7D%28aq%29%2BNaIO_%7B3%7D%28aq%29%5Cleftrightarrows%7B%7DTh%28IO_%7B3%7D%29_%7B4%7D%28s%29%2BNaNO_%7B3%7D%28aq%29?scale=1.5"" alt=""LaTeX: Th(NO_{3})_{4}(aq)+NaIO_{3}(aq)\leftrightarrows{}Th(IO_{3})_{4}(s)+NaNO_{3}(aq)"" data-equation-content=""Th(NO_{3})_{4}(aq)+NaIO_{3}(aq)\leftrightarrows{}Th(IO_{3})_{4}(s)+NaNO_{3}(aq)"" data-ignore-a11y-check=""""></mattext>","1,4,1,4;1, 4, 1, 4",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""C_{2}H_{6}(g)+O_{2}(g)\leftrightarrows{}CO_{2}(g)+H_{2}O(g)"" src=""https://weber.instructure.com/equation_images/C_%7B2%7DH_%7B6%7D%28g%29%2BO_%7B2%7D%28g%29%5Cleftrightarrows%7B%7DCO_%7B2%7D%28g%29%2BH_%7B2%7DO%28g%29?scale=1.5"" alt=""LaTeX: C_{2}H_{6}(g)+O_{2}(g)\leftrightarrows{}CO_{2}(g)+H_{2}O(g)"" data-equation-content=""C_{2}H_{6}(g)+O_{2}(g)\leftrightarrows{}CO_{2}(g)+H_{2}O(g)"" data-ignore-a11y-check=""""></mattext>","2,7,4,6;2, 7, 4, 6",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""C_{3}H_{8}(g)+O_{2}(g)\leftrightarrows{}CO_{2}(g)+H_{2}O(g)"" src=""https://weber.instructure.com/equation_images/C_%7B3%7DH_%7B8%7D%28g%29%2BO_%7B2%7D%28g%29%5Cleftrightarrows%7B%7DCO_%7B2%7D%28g%29%2BH_%7B2%7DO%28g%29?scale=1.5"" alt=""LaTeX: C_{3}H_{8}(g)+O_{2}(g)\leftrightarrows{}CO_{2}(g)+H_{2}O(g)"" data-equation-content=""C_{3}H_{8}(g)+O_{2}(g)\leftrightarrows{}CO_{2}(g)+H_{2}O(g)"" data-ignore-a11y-check=""""></mattext>","1,5,3,4;1, 5, 3, 4",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Ca(s)+H_{3}PO_{4}(aq)\leftrightarrows{}Ca_{3}(PO_{4})_{2}(s)+H_{2}(g)"" src=""https://weber.instructure.com/equation_images/Ca%28s%29%2BH_%7B3%7DPO_%7B4%7D%28aq%29%5Cleftrightarrows%7B%7DCa_%7B3%7D%28PO_%7B4%7D%29_%7B2%7D%28s%29%2BH_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: Ca(s)+H_{3}PO_{4}(aq)\leftrightarrows{}Ca_{3}(PO_{4})_{2}(s)+H_{2}(g)"" data-equation-content=""Ca(s)+H_{3}PO_{4}(aq)\leftrightarrows{}Ca_{3}(PO_{4})_{2}(s)+H_{2}(g)"" data-ignore-a11y-check=""""></mattext>","3,2,1,3;3, 2, 1, 3",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Mg(s)+H_{3}PO_{4}(aq)\leftrightarrows{}Mg_{3}(PO_{4})_{2}(s)+H_{2}(g)"" src=""https://weber.instructure.com/equation_images/Mg%28s%29%2BH_%7B3%7DPO_%7B4%7D%28aq%29%5Cleftrightarrows%7B%7DMg_%7B3%7D%28PO_%7B4%7D%29_%7B2%7D%28s%29%2BH_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: Mg(s)+H_{3}PO_{4}(aq)\leftrightarrows{}Mg_{3}(PO_{4})_{2}(s)+H_{2}(g)"" data-equation-content=""Mg(s)+H_{3}PO_{4}(aq)\leftrightarrows{}Mg_{3}(PO_{4})_{2}(s)+H_{2}(g)"" data-ignore-a11y-check=""""></mattext>","3,2,1,3;3, 2, 1, 3",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Be(s)+H_{3}PO_{4}(aq)\leftrightarrows{}Be_{3}(PO_{4})_{2}(s)+H_{2}(g)"" src=""https://weber.instructure.com/equation_images/Be%28s%29%2BH_%7B3%7DPO_%7B4%7D%28aq%29%5Cleftrightarrows%7B%7DBe_%7B3%7D%28PO_%7B4%7D%29_%7B2%7D%28s%29%2BH_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: Be(s)+H_{3}PO_{4}(aq)\leftrightarrows{}Be_{3}(PO_{4})_{2}(s)+H_{2}(g)"" data-equation-content=""Be(s)+H_{3}PO_{4}(aq)\leftrightarrows{}Be_{3}(PO_{4})_{2}(s)+H_{2}(g)"" data-ignore-a11y-check=""""></mattext>","3,2,1,3;3, 2, 1, 3",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Sr(s)+H_{3}PO_{4}(aq)\leftrightarrows{}Sr_{3}(PO_{4})_{2}(s)+H_{2}(g)"" src=""https://weber.instructure.com/equation_images/Sr%28s%29%2BH_%7B3%7DPO_%7B4%7D%28aq%29%5Cleftrightarrows%7B%7DSr_%7B3%7D%28PO_%7B4%7D%29_%7B2%7D%28s%29%2BH_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: Sr(s)+H_{3}PO_{4}(aq)\leftrightarrows{}Sr_{3}(PO_{4})_{2}(s)+H_{2}(g)"" data-equation-content=""Sr(s)+H_{3}PO_{4}(aq)\leftrightarrows{}Sr_{3}(PO_{4})_{2}(s)+H_{2}(g)"" data-ignore-a11y-check=""""></mattext>","3,2,1,3;3, 2, 1, 3",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Na(s)+H_{2}O(l)\leftrightarrows{}NaOH(aq)+H_{2}(g)"" src=""https://weber.instructure.com/equation_images/Na%28s%29%2BH_%7B2%7DO%28l%29%5Cleftrightarrows%7B%7DNaOH%28aq%29%2BH_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: Na(s)+H_{2}O(l)\leftrightarrows{}NaOH(aq)+H_{2}(g)"" data-equation-content=""Na(s)+H_{2}O(l)\leftrightarrows{}NaOH(aq)+H_{2}(g)"" data-ignore-a11y-check=""""></mattext>","2,2,2,1;2, 2, 2, 1",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""K(s)+H_{2}O(l)\leftrightarrows{}KOH(aq)+H_{2}(g)"" src=""https://weber.instructure.com/equation_images/K%28s%29%2BH_%7B2%7DO%28l%29%5Cleftrightarrows%7B%7DKOH%28aq%29%2BH_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: K(s)+H_{2}O(l)\leftrightarrows{}KOH(aq)+H_{2}(g)"" data-equation-content=""K(s)+H_{2}O(l)\leftrightarrows{}KOH(aq)+H_{2}(g)"" data-ignore-a11y-check=""""></mattext>","2,2,2,1;2, 2, 2, 1",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Li(s)+H_{2}O(l)\leftrightarrows{}LiOH(aq)+H_{2}(g)"" src=""https://weber.instructure.com/equation_images/Li%28s%29%2BH_%7B2%7DO%28l%29%5Cleftrightarrows%7B%7DLiOH%28aq%29%2BH_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: Li(s)+H_{2}O(l)\leftrightarrows{}LiOH(aq)+H_{2}(g)"" data-equation-content=""Li(s)+H_{2}O(l)\leftrightarrows{}LiOH(aq)+H_{2}(g)"" data-ignore-a11y-check=""""></mattext>","2,2,2,1;2, 2, 2, 1",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Rb(s)+H_{2}O(l)\leftrightarrows{}RbOH(aq)+H_{2}(g)"" src=""https://weber.instructure.com/equation_images/Rb%28s%29%2BH_%7B2%7DO%28l%29%5Cleftrightarrows%7B%7DRbOH%28aq%29%2BH_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: Rb(s)+H_{2}O(l)\leftrightarrows{}RbOH(aq)+H_{2}(g)"" data-equation-content=""Rb(s)+H_{2}O(l)\leftrightarrows{}RbOH(aq)+H_{2}(g)"" data-ignore-a11y-check=""""></mattext>","2,2,2,1;2, 2, 2, 1",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""P_{4}(s)+Cl_{2}(g)\leftrightarrows{}PCl_{3}(l)"" src=""https://weber.instructure.com/equation_images/P_%7B4%7D%28s%29%2BCl_%7B2%7D%28g%29%5Cleftrightarrows%7B%7DPCl_%7B3%7D%28l%29?scale=1.5"" alt=""LaTeX: P_{4}(s)+Cl_{2}(g)\leftrightarrows{}PCl_{3}(l)"" data-equation-content=""P_{4}(s)+Cl_{2}(g)\leftrightarrows{}PCl_{3}(l)"" data-ignore-a11y-check=""""></mattext>","1,6,4;1, 6, 4",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Mg(s)+O_{2}(g)\leftrightarrows{}MgO(s)"" src=""https://weber.instructure.com/equation_images/Mg%28s%29%2BO_%7B2%7D%28g%29%5Cleftrightarrows%7B%7DMgO%28s%29?scale=1.5"" alt=""LaTeX: Mg(s)+O_{2}(g)\leftrightarrows{}MgO(s)"" data-equation-content=""Mg(s)+O_{2}(g)\leftrightarrows{}MgO(s)"" data-ignore-a11y-check=""""></mattext>","2,1,2;2, 1, 2",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Be(s)+O_{2}(g)\leftrightarrows{}BeO(s)"" src=""https://weber.instructure.com/equation_images/Be%28s%29%2BO_%7B2%7D%28g%29%5Cleftrightarrows%7B%7DBeO%28s%29?scale=1.5"" alt=""LaTeX: Be(s)+O_{2}(g)\leftrightarrows{}BeO(s)"" data-equation-content=""Be(s)+O_{2}(g)\leftrightarrows{}BeO(s)"" data-ignore-a11y-check=""""></mattext>","2,1,2;2, 1, 2",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Sr(s)+O_{2}(g)\leftrightarrows{}SrO(s)"" src=""https://weber.instructure.com/equation_images/Sr%28s%29%2BO_%7B2%7D%28g%29%5Cleftrightarrows%7B%7DSrO%28s%29?scale=1.5"" alt=""LaTeX: Sr(s)+O_{2}(g)\leftrightarrows{}SrO(s)"" data-equation-content=""Sr(s)+O_{2}(g)\leftrightarrows{}SrO(s)"" data-ignore-a11y-check=""""></mattext>","2,1,2;2, 1, 2",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""NH_{3}(g)+O_{2}(g)\leftrightarrows{}NO(g)+H_{2}O(g)"" src=""https://weber.instructure.com/equation_images/NH_%7B3%7D%28g%29%2BO_%7B2%7D%28g%29%5Cleftrightarrows%7B%7DNO%28g%29%2BH_%7B2%7DO%28g%29?scale=1.5"" alt=""LaTeX: NH_{3}(g)+O_{2}(g)\leftrightarrows{}NO(g)+H_{2}O(g)"" data-equation-content=""NH_{3}(g)+O_{2}(g)\leftrightarrows{}NO(g)+H_{2}O(g)"" data-ignore-a11y-check=""""></mattext>","4,5,4,6;4, 5, 4, 6",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""FeCl_{3}(aq)+Zn(s)\leftrightarrows{}Fe(s)+ZnCl_{2}(aq)"" src=""https://weber.instructure.com/equation_images/FeCl_%7B3%7D%28aq%29%2BZn%28s%29%5Cleftrightarrows%7B%7DFe%28s%29%2BZnCl_%7B2%7D%28aq%29?scale=1.5"" alt=""LaTeX: FeCl_{3}(aq)+Zn(s)\leftrightarrows{}Fe(s)+ZnCl_{2}(aq)"" data-equation-content=""FeCl_{3}(aq)+Zn(s)\leftrightarrows{}Fe(s)+ZnCl_{2}(aq)"" data-ignore-a11y-check=""""></mattext>","2,3,2,3;2, 3, 2, 3",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""CoCl_{3}(aq)+Zn(s)\leftrightarrows{}Co(s)+ZnCl_{2}(aq)"" src=""https://weber.instructure.com/equation_images/CoCl_%7B3%7D%28aq%29%2BZn%28s%29%5Cleftrightarrows%7B%7DCo%28s%29%2BZnCl_%7B2%7D%28aq%29?scale=1.5"" alt=""LaTeX: CoCl_{3}(aq)+Zn(s)\leftrightarrows{}Co(s)+ZnCl_{2}(aq)"" data-equation-content=""CoCl_{3}(aq)+Zn(s)\leftrightarrows{}Co(s)+ZnCl_{2}(aq)"" data-ignore-a11y-check=""""></mattext>","2,3,2,3;2, 3, 2, 3",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""H_{2}SO_{4}(aq)+NaOH(aq)\leftrightarrows{}Na_{2}SO_{4}(aq)+H_{2}O(l)"" src=""https://weber.instructure.com/equation_images/H_%7B2%7DSO_%7B4%7D%28aq%29%2BNaOH%28aq%29%5Cleftrightarrows%7B%7DNa_%7B2%7DSO_%7B4%7D%28aq%29%2BH_%7B2%7DO%28l%29?scale=1.5"" alt=""LaTeX: H_{2}SO_{4}(aq)+NaOH(aq)\leftrightarrows{}Na_{2}SO_{4}(aq)+H_{2}O(l)"" data-equation-content=""H_{2}SO_{4}(aq)+NaOH(aq)\leftrightarrows{}Na_{2}SO_{4}(aq)+H_{2}O(l)"" data-ignore-a11y-check=""""></mattext>","1,2,1,2;1, 2, 1, 2",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""H_{2}SO_{4}(aq)+KOH(aq)\leftrightarrows{}K_{2}SO_{4}(aq)+H_{2}O(l)"" src=""https://weber.instructure.com/equation_images/H_%7B2%7DSO_%7B4%7D%28aq%29%2BKOH%28aq%29%5Cleftrightarrows%7B%7DK_%7B2%7DSO_%7B4%7D%28aq%29%2BH_%7B2%7DO%28l%29?scale=1.5"" alt=""LaTeX: H_{2}SO_{4}(aq)+KOH(aq)\leftrightarrows{}K_{2}SO_{4}(aq)+H_{2}O(l)"" data-equation-content=""H_{2}SO_{4}(aq)+KOH(aq)\leftrightarrows{}K_{2}SO_{4}(aq)+H_{2}O(l)"" data-ignore-a11y-check=""""></mattext>","1,2,1,2;1, 2, 1, 2",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""H_{2}SO_{4}(aq)+LiOH(aq)\leftrightarrows{}Li_{2}SO_{4}(aq)+H_{2}O(l)"" src=""https://weber.instructure.com/equation_images/H_%7B2%7DSO_%7B4%7D%28aq%29%2BLiOH%28aq%29%5Cleftrightarrows%7B%7DLi_%7B2%7DSO_%7B4%7D%28aq%29%2BH_%7B2%7DO%28l%29?scale=1.5"" alt=""LaTeX: H_{2}SO_{4}(aq)+LiOH(aq)\leftrightarrows{}Li_{2}SO_{4}(aq)+H_{2}O(l)"" data-equation-content=""H_{2}SO_{4}(aq)+LiOH(aq)\leftrightarrows{}Li_{2}SO_{4}(aq)+H_{2}O(l)"" data-ignore-a11y-check=""""></mattext>","1,2,1,2;1, 2, 1, 2",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""C(s)+FeO(s)\leftrightarrows{}Fe(s)+CO_{2}(g)"" src=""https://weber.instructure.com/equation_images/C%28s%29%2BFeO%28s%29%5Cleftrightarrows%7B%7DFe%28s%29%2BCO_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: C(s)+FeO(s)\leftrightarrows{}Fe(s)+CO_{2}(g)"" data-equation-content=""C(s)+FeO(s)\leftrightarrows{}Fe(s)+CO_{2}(g)"" data-ignore-a11y-check=""""></mattext>","2,4,4,2;2, 4, 4, 2",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""C(s)+RuO(s)\leftrightarrows{}Ru(s)+CO_{2}(g)"" src=""https://weber.instructure.com/equation_images/C%28s%29%2BRuO%28s%29%5Cleftrightarrows%7B%7DRu%28s%29%2BCO_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: C(s)+RuO(s)\leftrightarrows{}Ru(s)+CO_{2}(g)"" data-equation-content=""C(s)+RuO(s)\leftrightarrows{}Ru(s)+CO_{2}(g)"" data-ignore-a11y-check=""""></mattext>","2,4,4,2;2, 4, 4, 2",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""NH_{3}(g)+O_{2}(g)\leftrightarrows{}NO(g)+H_{2}O(g)"" src=""https://weber.instructure.com/equation_images/NH_%7B3%7D%28g%29%2BO_%7B2%7D%28g%29%5Cleftrightarrows%7B%7DNO%28g%29%2BH_%7B2%7DO%28g%29?scale=1.5"" alt=""LaTeX: NH_{3}(g)+O_{2}(g)\leftrightarrows{}NO(g)+H_{2}O(g)"" data-equation-content=""NH_{3}(g)+O_{2}(g)\leftrightarrows{}NO(g)+H_{2}O(g)"" data-ignore-a11y-check=""""></mattext>","4,5,4,6;4, 5, 4, 6",short_answer
"Balance the following reaction.<br>Enter your answer as a list of coefficients separated by commas.<br><mattext texttype=""text/html""><img class=""equation_image"" title=""CH_{4}(g)+O_{2}(g)\leftrightarrows{}CO_{2}(g)+H_{2}O(g)"" src=""https://weber.instructure.com/equation_images/CH_%7B4%7D%28g%29%2BO_%7B2%7D%28g%29%5Cleftrightarrows%7B%7DCO_%7B2%7D%28g%29%2BH_%7B2%7DO%28g%29?scale=1.5"" alt=""LaTeX: CH_{4}(g)+O_{2}(g)\leftrightarrows{}CO_{2}(g)+H_{2}O(g)"" data-equation-content=""CH_{4}(g)+O_{2}(g)\leftrightarrows{}CO_{2}(g)+H_{2}O(g)"" data-ignore-a11y-check=""""></mattext>","1,2,1,2;1, 2, 1, 2",short_answer
