question,correct_answers,question_type
"Is the value 6 mol in the 95 % confidence interval for the following measurement?<br>7 ± 2 mol, n = 10",Yes;yes;Y;y,short_answer
"Is the value 0.06 mL in the 50 % confidence interval for the following measurement?<br>0.06 ± 0.02 mL, n = 40",Yes;yes;Y;y,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>380 ± 80 kJ, n = 10<br>Use the ± symbol in your answer.",380 ± 120;380±120;3.8e2 ± 1.2e2;3.8e2±1.2e2,short_answer
"Is the value 0.79 cal in the 95 % confidence interval for the following measurement?<br>0.75 ± 0.15 cal, n = 20",Yes;yes;Y;y,short_answer
"Does the following measurement agree with the known value of 4.9 kJ at the 90 % confidence level?<br>3.5 ± 0.9 kJ, n = 4",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 620 Pa at the 50 % confidence level?<br>630 ± 50 Pa, n = 5",Yes;yes;Y;y,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>7.18 ± 0.15 L, n = 120<br>Use the ± symbol in your answer.",7.18 ± 0.05;7.18±0.05;7.18e0 ± 5e-2;7.18e0±5e-2,short_answer
"Is the value 19 atm in the 95 % confidence interval for the following measurement?<br>29 ± 10. atm, n = 8",No;no;N;n,short_answer
"Is the value 0.049 g in the 99.9 % confidence interval for the following measurement?<br>0.051 ± 0.007 g, n = 40",Yes;yes;Y;y,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>9 ± 2 M, n = 40<br>Use the ± symbol in your answer.",9.0 ± 0.5;9.0±0.5;9.0e0 ± 5e-1;9.0e0±5e-1,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>3.8 ± 0.4 Hz, n = 30<br>Use the ± symbol in your answer.",3.80 ± 0.12;3.80±0.12;3.80e0 ± 1.2e-1;3.80e0±1.2e-1,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>0.028 ± 0.012 Pa, n = 20<br>Use the ± symbol in your answer.",0.028 ± 0.002;0.028±0.002;2.8e-2 ± 2e-3;2.8e-2±2e-3,short_answer
"Does the following measurement agree with the known value of 600 h at the 90 % confidence level?<br>500 ± 200 h, n = 9",Yes;yes;Y;y,short_answer
"Is the value 500 ms in the 90 % confidence interval for the following measurement?<br>700 ± 300 ms, n = 20",No;no;N;n,short_answer
"Is the value 42 J in the 99 % confidence interval for the following measurement?<br>36 ± 14 J, n = 40",No;no;N;n,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>8e3 ± 3e3 mA, n = 120<br>Use the ± symbol in your answer.",8.0e3 ± 900;8.0e3±900;8.0e3 ± 9e2;8.0e3±9e2,short_answer
"Is the value 0.67 mL in the 99 % confidence interval for the following measurement?<br>0.58 ± 0.10 mL, n = 6",Yes;yes;Y;y,short_answer
"Does the following measurement agree with the known value of 0.1 Pa at the 95 % confidence level?<br>0.5 ± 0.3 Pa, n = 8",No;no;N;n,short_answer
"Is the value 8 Torr in the 95 % confidence interval for the following measurement?<br>7 ± 3 Torr, n = 25",Yes;yes;Y;y,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>1.4e3 ± 4e2 A, n = 4<br>Use the ± symbol in your answer.",1400 ± 200;1400±200;1.4e3 ± 2e2;1.4e3±2e2,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>1.4 ± 0.7 ns, n = 6<br>Use the ± symbol in your answer.",1.4 ± 0.2;1.4±0.2;1.4e0 ± 2e-1;1.4e0±2e-1,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>0.023 ± 0.006 mA, n = 30<br>Use the ± symbol in your answer.",0.023 ± 0.004;0.023±0.004;2.3e-2 ± 4e-3;2.3e-2±4e-3,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>0.20 ± 0.06 cal, n = 9<br>Use the ± symbol in your answer.",0.20 ± 0.05;0.20±0.05;2.0e-1 ± 5e-2;2.0e-1±5e-2,short_answer
"Is the value 6100 m in the 95 % confidence interval for the following measurement?<br>4.0e3 ± 9e2 m, n = 4",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 0.16 ms at the 95 % confidence level?<br>0.169 ± 0.009 ms, n = 6",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 8 kg at the 99 % confidence level?<br>7 ± 3 kg, n = 120",No;no;N;n,short_answer
"Is the value 3100 kV in the 50 % confidence interval for the following measurement?<br>3.2e3 ± 5e2 kV, n = 3",Yes;yes;Y;y,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>0.028 ± 0.011 mM, n = 30<br>Use the ± symbol in your answer.",0.028 ± 0.006;0.028±0.006;2.8e-2 ± 6e-3;2.8e-2±6e-3,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>1.8 ± 0.6 L, n = 9<br>Use the ± symbol in your answer.",1.8 ± 0.5;1.8±0.5;1.8e0 ± 5e-1;1.8e0±5e-1,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>510 ± 170 L, n = 5<br>Use the ± symbol in your answer.",500 ± 400;500±400;5e2 ± 4e2;5e2±4e2,short_answer
"Does the following measurement agree with the known value of 23.6 atm at the 50 % confidence level?<br>23.8 ± 1.6 atm, n = 9",Yes;yes;Y;y,short_answer
"Is the value 8 kJ in the 99 % confidence interval for the following measurement?<br>6.5 ± 1.1 kJ, n = 7",Yes;yes;Y;y,short_answer
"Is the value -0.3 mmHg in the 99.9 % confidence interval for the following measurement?<br>0.031 ± 0.015 mmHg, n = 3",No;no;N;n,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>0.0178 ± 0.0014 L, n = 5<br>Use the ± symbol in your answer.",0.018 ± 0.003;0.018±0.003;1.8e-2 ± 3e-3;1.8e-2±3e-3,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>0.256 ± 0.009 h, n = 40<br>Use the ± symbol in your answer.",0.2560 ± 0.0010;0.2560±0.0010;2.560e-1 ± 1.0e-3;2.560e-1±1.0e-3,short_answer
"Does the following measurement agree with the known value of 1.22 J at the 50 % confidence level?<br>1.27 ± 0.17 J, n = 4",Yes;yes;Y;y,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>28 ± 5 A, n = 8<br>Use the ± symbol in your answer.",28 ± 4;28±4;2.8e1 ± 4e0;2.8e1±4e0,short_answer
"Is the value 0.16 V in the 99.9 % confidence interval for the following measurement?<br>0.17 ± 0.03 V, n = 40",Yes;yes;Y;y,short_answer
"Is the value 0.032 A in the 95 % confidence interval for the following measurement?<br>0.030 ± 0.008 A, n = 120",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 1.0 ms at the 50 % confidence level?<br>0.9 ± 0.4 ms, n = 25",No;no;N;n,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>0.44 ± 0.05 A, n = 5<br>Use the ± symbol in your answer.",0.4 ± 0.2;0.4±0.2;4e-1 ± 2e-1;4e-1±2e-1,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>55 ± 8 m, n = 3<br>Use the ± symbol in your answer.",55 ± 13;55±13;5.5e1 ± 1.3e1;5.5e1±1.3e1,short_answer
"Is the value 80 kcal in the 90 % confidence interval for the following measurement?<br>60 ± 20 kcal, n = 7",No;no;N;n,short_answer
"Is the value 0.51 kJ in the 95 % confidence interval for the following measurement?<br>0.48 ± 0.10 kJ, n = 20",Yes;yes;Y;y,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>1.45e3 ± 3e1 W, n = 20<br>Use the ± symbol in your answer.",1450. ± 14;1450.±14;1.450e3 ± 1.4e1;1.450e3±1.4e1,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>0.0156 ± 0.0015 A, n = 60<br>Use the ± symbol in your answer.",0.0156 ± 0.0005;0.0156±0.0005;1.56e-2 ± 5e-4;1.56e-2±5e-4,short_answer
"Is the value 0.04 h in the 99.9 % confidence interval for the following measurement?<br>0.05 ± 0.02 h, n = 30",Yes;yes;Y;y,short_answer
"Is the value 0.019 g in the 90 % confidence interval for the following measurement?<br>0.018 ± 0.004 g, n = 30",Yes;yes;Y;y,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>24 ± 8 mA, n = 8<br>Use the ± symbol in your answer.",24 ± 2;24±2;2.4e1 ± 2e0;2.4e1±2e0,short_answer
"Does the following measurement agree with the known value of 370. g at the 90 % confidence level?<br>365 ± 5 g, n = 4",Yes;yes;Y;y,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>3.5 ± 0.7 kg, n = 15<br>Use the ± symbol in your answer.",3.5 ± 0.5;3.5±0.5;3.5e0 ± 5e-1;3.5e0±5e-1,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>0.031 ± 0.004 atm, n = 6<br>Use the ± symbol in your answer.",0.0310 ± 0.0012;0.0310±0.0012;3.10e-2 ± 1.2e-3;3.10e-2±1.2e-3,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>6.4 ± 1.4 bar, n = 6<br>Use the ± symbol in your answer.",6.4 ± 1.5;6.4±1.5;6.4e0 ± 1.5e0;6.4e0±1.5e0,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>4.29 ± 0.11 mA, n = 3<br>Use the ± symbol in your answer.",4.3 ± 0.6;4.3±0.6;4.3e0 ± 6e-1;4.3e0±6e-1,short_answer
"Is the value 1.2 s in the 95 % confidence interval for the following measurement?<br>1.5 ± 0.7 s, n = 40",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 28 V at the 95 % confidence level?<br>32 ± 10. V, n = 10",Yes;yes;Y;y,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>0.50 ± 0.02 mM, n = 4<br>Use the ± symbol in your answer.",0.50 ± 0.13;0.50±0.13;5.0e-1 ± 1.3e-1;5.0e-1±1.3e-1,short_answer
"Does the following measurement agree with the known value of 0.008 mM at the 90 % confidence level?<br>0.014 ± 0.006 mM, n = 6",No;no;N;n,short_answer
"Is the value 1500 cal in the 50 % confidence interval for the following measurement?<br>1.4e3 ± 2e2 cal, n = 3",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 7100 mM at the 95 % confidence level?<br>7.5e3 ± 4e2 mM, n = 10",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 9000 K at the 90 % confidence level?<br>8e3 ± 2e3 K, n = 15",No;no;N;n,short_answer
"Is the value 0.37 Hz in the 90 % confidence interval for the following measurement?<br>0.31 ± 0.15 Hz, n = 8",Yes;yes;Y;y,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>9e3 ± 2e3 K, n = 20<br>Use the ± symbol in your answer.",9000 ± 2000;9000±2000;9e3 ± 2e3;9e3±2e3,short_answer
"Is the value 0.48 bar in the 50 % confidence interval for the following measurement?<br>0.44 ± 0.18 bar, n = 9",No;no;N;n,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>10.5 ± 1.7 M, n = 4<br>Use the ± symbol in your answer.",11 ± 2;11±2;1.1e1 ± 2e0;1.1e1±2e0,short_answer
"Does the following measurement agree with the known value of 2.3 nm at the 99 % confidence level?<br>1.9 ± 0.4 nm, n = 9",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 420 mol at the 99.9 % confidence level?<br>520 ± 40 mol, n = 7",No;no;N;n,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>2.7e3 ± 6e2 mol, n = 4<br>Use the ± symbol in your answer.",2700 ± 200;2700±200;2.7e3 ± 2e2;2.7e3±2e2,short_answer
"Does the following measurement agree with the known value of 0.12 mL at the 90 % confidence level?<br>0.20 ± 0.05 mL, n = 4",No;no;N;n,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>0.011 ± 0.005 mL, n = 25<br>Use the ± symbol in your answer.",0.011 ± 0.003;0.011±0.003;1.1e-2 ± 3e-3;1.1e-2±3e-3,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>79 ± 15 bar, n = 4<br>Use the ± symbol in your answer.",80 ± 1.0e2;80±1.0e2;8e1 ± 1.0e2;8e1±1.0e2,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>0.16 ± 0.06 M, n = 25<br>Use the ± symbol in your answer.",0.16 ± 0.03;0.16±0.03;1.6e-1 ± 3e-2;1.6e-1±3e-2,short_answer
"Does the following measurement agree with the known value of 4 km at the 99.9 % confidence level?<br>2.8 ± 1.2 km, n = 25",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 5.0e3 ms at the 99 % confidence level?<br>4.8e3 ± 8e2 ms, n = 60",Yes;yes;Y;y,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>900 ± 400 Hz, n = 5<br>Use the ± symbol in your answer.",900 ± 800;900±800;9e2 ± 8e2;9e2±8e2,short_answer
"Is the value 2.00 N in the 99 % confidence interval for the following measurement?<br>1.91 ± 0.15 N, n = 15",Yes;yes;Y;y,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>1.3e3 ± 2e2 W, n = 15<br>Use the ± symbol in your answer.",1300 ± 200;1300±200;1.3e3 ± 2e2;1.3e3±2e2,short_answer
"Does the following measurement agree with the known value of 2300 atm at the 95 % confidence level?<br>2.8e3 ± 1.2e3 atm, n = 15",Yes;yes;Y;y,short_answer
"Does the following measurement agree with the known value of 0.12 ms at the 99 % confidence level?<br>0.09 ± 0.04 ms, n = 10",Yes;yes;Y;y,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>0.12 ± 0.05 ns, n = 4<br>Use the ± symbol in your answer.",0.12 ± 0.02;0.12±0.02;1.2e-1 ± 2e-2;1.2e-1±2e-2,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>0.0142 ± 0.0004 s, n = 60<br>Use the ± symbol in your answer.",0.01420 ± 0.00004;0.01420±0.00004;1.420e-2 ± 4e-5;1.420e-2±4e-5,short_answer
"Does the following measurement agree with the known value of 4.9 K at the 90 % confidence level?<br>5.5 ± 1.2 K, n = 7",Yes;yes;Y;y,short_answer
"Is the value 0.21 Torr in the 90 % confidence interval for the following measurement?<br>0.19 ± 0.09 Torr, n = 20",Yes;yes;Y;y,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>0.17 ± 0.06 mbar, n = 7<br>Use the ± symbol in your answer.",0.17 ± 0.08;0.17±0.08;1.7e-1 ± 8e-2;1.7e-1±8e-2,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>1.6 ± 0.6 km, n = 9<br>Use the ± symbol in your answer.",1.6 ± 0.7;1.6±0.7;1.6e0 ± 7e-1;1.6e0±7e-1,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>0.08 ± 0.03 mol, n = 4<br>Use the ± symbol in your answer.",0.08 ± 0.04;0.08±0.04;8e-2 ± 4e-2;8e-2±4e-2,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>6e3 ± 3e3 s, n = 3<br>Use the ± symbol in your answer.",10000 ± 20000;10000±20000;1e4 ± 2e4;1e4±2e4,short_answer
"Does the following measurement agree with the known value of 10.8 A at the 99 % confidence level?<br>10.4 ± 0.4 A, n = 6",Yes;yes;Y;y,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>1.4 ± 0.7 ms, n = 30<br>Use the ± symbol in your answer.",1.4 ± 0.5;1.4±0.5;1.4e0 ± 5e-1;1.4e0±5e-1,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>1.38e3 ± 1.3e2 mL, n = 60<br>Use the ± symbol in your answer.",1380 ± 40;1380±40;1.38e3 ± 4e1;1.38e3±4e1,short_answer
"Does the following measurement agree with the known value of 0.40 J at the 50 % confidence level?<br>0.39 ± 0.05 J, n = 10",Yes;yes;Y;y,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>3.2e3 ± 8e2 cal, n = 3<br>Use the ± symbol in your answer.",3200 ± 1300;3200±1300;3.2e3 ± 1.3e3;3.2e3±1.3e3,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>157 ± 18 Pa, n = 120<br>Use the ± symbol in your answer.",157.0 ± 1.1;157.0±1.1;1.570e2 ± 1.1e0;1.570e2±1.1e0,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>1.7 ± 0.2 Torr, n = 60<br>Use the ± symbol in your answer.",1.70 ± 0.07;1.70±0.07;1.70e0 ± 7e-2;1.70e0±7e-2,short_answer
"Is the value 25 kPa in the 99.9 % confidence interval for the following measurement?<br>34 ± 15 kPa, n = 40",No;no;N;n,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>0.09 ± 0.03 m, n = 15<br>Use the ± symbol in your answer.",0.090 ± 0.014;0.090±0.014;9.0e-2 ± 1.4e-2;9.0e-2±1.4e-2,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>279 ± 4 kcal, n = 20<br>Use the ± symbol in your answer.",279 ± 2;279±2;2.79e2 ± 2e0;2.79e2±2e0,short_answer
"Does the following measurement agree with the known value of 60 M at the 99 % confidence level?<br>50 ± 20 M, n = 30",No;no;N;n,short_answer
"Is the value 5 Hz in the 99 % confidence interval for the following measurement?<br>6 ± 3 Hz, n = 40",Yes;yes;Y;y,short_answer
"Does the following measurement agree with the known value of 1.0e2 mM at the 90 % confidence level?<br>90 ± 30 mM, n = 15",Yes;yes;Y;y,short_answer
