question,correct_answers,incorrect_answers,question_type
Select the higher electronegativity element,Manganese,Potassium,multiple_choice
Select the element with the lowest electronegativity value,Radium,Oxygen;Zirconium,multiple_choice
Which element is less electronegative?,Sodium,Hydrogen,multiple_choice
Select the highest electronegativity element,Oxygen,Sulfur;Boron,multiple_choice
Select the lower electronegativity element,Potassium,Copper,multiple_choice
Select the element with the lower electronegativity value,Scandium,Titanium,multiple_choice
Which element is the most electronegative?,Nickel,Mercury;Copper,multiple_choice
Select the element with the highest electronegativity value,Titanium,Potassium;Calcium,multiple_choice
Which element is the most electronegative?,Silicon,Scandium;Yttrium,multiple_choice
Select the lower electronegativity element,Calcium,Zinc,multiple_choice
Select the lowest electronegativity element,Scandium,Nickel;Zinc,multiple_choice
Select the element with the lower electronegativity value,Potassium,Titanium,multiple_choice
Select the element with the higher electronegativity value,Phosphorus,Potassium,multiple_choice
Select the lower electronegativity element,Potassium,Scandium,multiple_choice
Select the element with the lowest electronegativity value,Potassium,Vanadium;Niobium,multiple_choice
Select the lower electronegativity element,Potassium,Chromium,multiple_choice
Select the element with the higher electronegativity value,Oxygen,Copper,multiple_choice
Select the element with the higher electronegativity value,Boron,Potassium,multiple_choice
Select the element with the lower electronegativity value,Copper,Oxygen,multiple_choice
Select the lowest electronegativity element,Potassium,Oxygen;Sulfur,multiple_choice
Select the higher electronegativity element,Beryllium,Calcium,multiple_choice
Select the lower electronegativity element,Phosphorus,Fluorine,multiple_choice
Which element is the most electronegative?,Boron,Zinc;Beryllium,multiple_choice
Select the element with the higher electronegativity value,Nickel,Potassium,multiple_choice
Select the highest electronegativity element,Nitrogen,Titanium;Copper,multiple_choice
Select the lowest electronegativity element,Potassium,Manganese;Titanium,multiple_choice
Select the lowest electronegativity element,Calcium,Carbon;Aluminum,multiple_choice
Select the higher electronegativity element,Chlorine,Copper,multiple_choice
Select the element with the lowest electronegativity value,Calcium,Vanadium;Scandium,multiple_choice
Select the highest electronegativity element,Beryllium,Magnesium;Calcium,multiple_choice
Select the element with the highest electronegativity value,Zinc,Barium;Calcium,multiple_choice
Select the highest electronegativity element,Nickel,Rhenium;Scandium,multiple_choice
Select the element with the higher electronegativity value,Beryllium,Lithium,multiple_choice
Which element is less electronegative?,Calcium,Cobalt,multiple_choice
Select the lower electronegativity element,Francium,Vanadium,multiple_choice
Select the element with the higher electronegativity value,Silicon,Calcium,multiple_choice
Select the lowest electronegativity element,Potassium,Vanadium;Hafnium,multiple_choice
Which element is the most electronegative?,Beryllium,Magnesium;Potassium,multiple_choice
Select the lowest electronegativity element,Aluminum,Fluorine;Oxygen,multiple_choice
Which element is the most electronegative?,Arsenic,Calcium;Zinc,multiple_choice
Select the element with the lowest electronegativity value,Titanium,Chromium;Zinc,multiple_choice
Select the element with the lowest electronegativity value,Sodium,Hydrogen;Lithium,multiple_choice
Select the higher electronegativity element,Chromium,Scandium,multiple_choice
Select the element with the lower electronegativity value,Potassium,Manganese,multiple_choice
Which element is more electronegative?,Hydrogen,Lithium,multiple_choice
Select the highest electronegativity element,Beryllium,Calcium;Sodium,multiple_choice
Which element is the most electronegative?,Vanadium,Calcium;Potassium,multiple_choice
Which element is the most electronegative?,Beryllium,Magnesium;Potassium,multiple_choice
Select the higher electronegativity element,Sulfur,Potassium,multiple_choice
Select the lowest electronegativity element,Potassium,Fluorine;Boron,multiple_choice
Which element is the most electronegative?,Silicon,Potassium;Magnesium,multiple_choice
Select the highest electronegativity element,Silicon,Aluminum;Calcium,multiple_choice
Which element is less electronegative?,Cobalt,Nickel,multiple_choice
Select the element with the higher electronegativity value,Silicon,Scandium,multiple_choice
Which element is the most electronegative?,Iron,Scandium;Vanadium,multiple_choice
Select the element with the higher electronegativity value,Gold,Francium,multiple_choice
Which element is more electronegative?,Beryllium,Potassium,multiple_choice
Select the highest electronegativity element,Carbon,Aluminum;Copper,multiple_choice
Which element is more electronegative?,Hydrogen,Potassium,multiple_choice
Which element is the least electronegative?,Potassium,Sulfur;Silicon,multiple_choice
Select the element with the higher electronegativity value,Fluorine,Scandium,multiple_choice
Select the element with the highest electronegativity value,Titanium,Hafnium;Scandium,multiple_choice
Select the element with the higher electronegativity value,Zinc,Calcium,multiple_choice
Which element is less electronegative?,Calcium,Titanium,multiple_choice
Select the lowest electronegativity element,Beryllium,Fluorine;Copper,multiple_choice
Which element is more electronegative?,Phosphorus,Sodium,multiple_choice
Select the lowest electronegativity element,Potassium,Silicon;Scandium,multiple_choice
Select the element with the lower electronegativity value,Potassium,Silicon,multiple_choice
Select the highest electronegativity element,Manganese,Potassium;Titanium,multiple_choice
Select the higher electronegativity element,Iron,Vanadium,multiple_choice
Which element is the most electronegative?,Sulfur,Calcium;Zinc,multiple_choice
Select the element with the higher electronegativity value,Titanium,Scandium,multiple_choice
Select the element with the highest electronegativity value,Beryllium,Lithium;Magnesium,multiple_choice
Select the highest electronegativity element,Iron,Chromium;Titanium,multiple_choice
Select the element with the lower electronegativity value,Calcium,Titanium,multiple_choice
Select the element with the highest electronegativity value,Iron,Potassium;Manganese,multiple_choice
Select the highest electronegativity element,Copper,Potassium;Rubidium,multiple_choice
Select the highest electronegativity element,Fluorine,Copper;Carbon,multiple_choice
Select the element with the lowest electronegativity value,Sodium,Hydrogen;Lithium,multiple_choice
Select the element with the highest electronegativity value,Silicon,Calcium;Scandium,multiple_choice
Select the higher electronegativity element,Vanadium,Calcium,multiple_choice
Select the element with the highest electronegativity value,Carbon,Lithium;Silicon,multiple_choice
Select the lower electronegativity element,Calcium,Vanadium,multiple_choice
Which element is more electronegative?,Cobalt,Iron,multiple_choice
Select the element with the higher electronegativity value,Sulfur,Phosphorus,multiple_choice
Select the lower electronegativity element,Potassium,Zinc,multiple_choice
Select the element with the higher electronegativity value,Aluminum,Calcium,multiple_choice
Which element is less electronegative?,Potassium,Scandium,multiple_choice
Select the element with the lowest electronegativity value,Zinc,Iron;Chromium,multiple_choice
Which element is less electronegative?,Strontium,Titanium,multiple_choice
Select the highest electronegativity element,Iron,Chromium;Manganese,multiple_choice
Select the element with the higher electronegativity value,Iron,Scandium,multiple_choice
Which element is the least electronegative?,Calcium,Carbon;Beryllium,multiple_choice
Select the highest electronegativity element,Hydrogen,Francium;Sodium,multiple_choice
Which element is the least electronegative?,Cesium,Tungsten;Barium,multiple_choice
Select the element with the lowest electronegativity value,Sodium,Beryllium;Magnesium,multiple_choice
Select the element with the higher electronegativity value,Nitrogen,Calcium,multiple_choice
Select the element with the lower electronegativity value,Cesium,Zinc,multiple_choice
Select the element with the lower electronegativity value,Scandium,Titanium,multiple_choice
Select the lowest electronegativity element,Francium,Copper;Potassium,multiple_choice
Which element is more electronegative?,Aluminum,Magnesium,multiple_choice
Select the element with the lower electronegativity value,Calcium,Scandium,multiple_choice
Which element is the most electronegative?,Phosphorus,Calcium;Potassium,multiple_choice
Select the lowest electronegativity element,Calcium,Beryllium;Magnesium,multiple_choice
Select the higher electronegativity element,Beryllium,Magnesium,multiple_choice
Select the element with the higher electronegativity value,Nickel,Calcium,multiple_choice
Which element is less electronegative?,Calcium,Manganese,multiple_choice
Select the element with the highest electronegativity value,Nickel,Titanium;Copper,multiple_choice
Select the highest electronegativity element,Chlorine,Sodium;Niobium,multiple_choice
Which element is less electronegative?,Potassium,Silicon,multiple_choice
Select the element with the lower electronegativity value,Potassium,Hydrogen,multiple_choice
Select the element with the higher electronegativity value,Phosphorus,Potassium,multiple_choice
Select the element with the highest electronegativity value,Aluminum,Potassium;Magnesium,multiple_choice
Select the element with the higher electronegativity value,Phosphorus,Calcium,multiple_choice
Select the lower electronegativity element,Potassium,Scandium,multiple_choice
Which element is the most electronegative?,Oxygen,Aluminum;Vanadium,multiple_choice
Which element is less electronegative?,Potassium,Zinc,multiple_choice
Which element is more electronegative?,Iron,Manganese,multiple_choice
Select the lowest electronegativity element,Beryllium,Carbon;Zinc,multiple_choice
Which element is more electronegative?,Carbon,Magnesium,multiple_choice
Which element is the most electronegative?,Beryllium,Magnesium;Lithium,multiple_choice
Select the lowest electronegativity element,Potassium,Zinc;Calcium,multiple_choice
Select the element with the lower electronegativity value,Magnesium,Silicon,multiple_choice
Which element is the most electronegative?,Nickel,Vanadium;Copper,multiple_choice
Which element is the most electronegative?,Boron,Potassium;Calcium,multiple_choice
Which element is less electronegative?,Scandium,Chromium,multiple_choice
Which element is less electronegative?,Boron,Oxygen,multiple_choice
Which element is less electronegative?,Potassium,Hydrogen,multiple_choice
Which element is the most electronegative?,Manganese,Scandium;Potassium,multiple_choice
Select the element with the lowest electronegativity value,Cesium,Copper;Potassium,multiple_choice
Select the highest electronegativity element,Beryllium,Magnesium;Lithium,multiple_choice
Select the element with the highest electronegativity value,Chromium,Zinc;Vanadium,multiple_choice
Select the element with the lowest electronegativity value,Potassium,Zinc;Calcium,multiple_choice
Select the element with the lower electronegativity value,Scandium,Chromium,multiple_choice
Select the element with the lowest electronegativity value,Copper,Fluorine;Astatine,multiple_choice
Select the element with the lowest electronegativity value,Potassium,Hydrogen;Sodium,multiple_choice
Which element is the most electronegative?,Carbon,Zinc;Calcium,multiple_choice
Which element is the most electronegative?,Oxygen,Scandium;Copper,multiple_choice
Select the lower electronegativity element,Scandium,Manganese,multiple_choice
Which element is the most electronegative?,Nitrogen,Titanium;Germanium,multiple_choice
Select the element with the lowest electronegativity value,Sodium,Hydrogen;Lithium,multiple_choice
Select the higher electronegativity element,Magnesium,Calcium,multiple_choice
Which element is the least electronegative?,Francium,Astatine;Actinium,multiple_choice
Which element is less electronegative?,Cesium,Phosphorus,multiple_choice
Select the lowest electronegativity element,Sodium,Beryllium;Calcium,multiple_choice
Which element is more electronegative?,Sulfur,Silicon,multiple_choice
Select the lowest electronegativity element,Francium,Hydrogen;Lithium,multiple_choice
Select the highest electronegativity element,Boron,Aluminum;Lithium,multiple_choice
Select the element with the higher electronegativity value,Zinc,Calcium,multiple_choice
Which element is more electronegative?,Fluorine,Lithium,multiple_choice
Which element is the least electronegative?,Potassium,Chlorine;Vanadium,multiple_choice
Select the lowest electronegativity element,Vanadium,Nickel;Copper,multiple_choice
Select the lowest electronegativity element,Potassium,Iron;Scandium,multiple_choice
Which element is the most electronegative?,Titanium,Yttrium;Scandium,multiple_choice
Select the lower electronegativity element,Potassium,Zinc,multiple_choice
Select the higher electronegativity element,Silicon,Scandium,multiple_choice
Select the higher electronegativity element,Chromium,Calcium,multiple_choice
Select the element with the lower electronegativity value,Boron,Fluorine,multiple_choice
Which element is less electronegative?,Vanadium,Chromium,multiple_choice
Select the element with the lowest electronegativity value,Calcium,Iron;Vanadium,multiple_choice
Select the element with the higher electronegativity value,Titanium,Francium,multiple_choice
Which element is more electronegative?,Hydrogen,Potassium,multiple_choice
Which element is less electronegative?,Sulfur,Fluorine,multiple_choice
Select the highest electronegativity element,Beryllium,Lithium;Calcium,multiple_choice
Select the element with the highest electronegativity value,Aluminum,Magnesium;Calcium,multiple_choice
Select the highest electronegativity element,Silicon,Potassium;Aluminum,multiple_choice
Select the element with the lowest electronegativity value,Cesium,Titanium;Potassium,multiple_choice
Which element is less electronegative?,Beryllium,Fluorine,multiple_choice
Select the lowest electronegativity element,Potassium,Zinc;Calcium,multiple_choice
Select the lower electronegativity element,Calcium,Manganese,multiple_choice
Which element is more electronegative?,Beryllium,Sodium,multiple_choice
Select the highest electronegativity element,Cobalt,Titanium;Scandium,multiple_choice
Select the element with the lower electronegativity value,Calcium,Beryllium,multiple_choice
Which element is more electronegative?,Chlorine,Sodium,multiple_choice
Select the lower electronegativity element,Potassium,Zinc,multiple_choice
Select the lower electronegativity element,Potassium,Magnesium,multiple_choice
Select the element with the lower electronegativity value,Potassium,Manganese,multiple_choice
Which element is the least electronegative?,Aluminum,Silicon;Zinc,multiple_choice
Select the higher electronegativity element,Nitrogen,Silicon,multiple_choice
Select the element with the lowest electronegativity value,Chromium,Fluorine;Sulfur,multiple_choice
Which element is more electronegative?,Calcium,Potassium,multiple_choice
Which element is the least electronegative?,Potassium,Boron;Thallium,multiple_choice
Select the higher electronegativity element,Calcium,Rubidium,multiple_choice
Select the element with the lower electronegativity value,Calcium,Beryllium,multiple_choice
Select the lower electronegativity element,Copper,Fluorine,multiple_choice
Select the highest electronegativity element,Technetium,Yttrium;Tungsten,multiple_choice
Select the lowest electronegativity element,Potassium,Chromium;Vanadium,multiple_choice
Select the element with the lowest electronegativity value,Potassium,Aluminum;Sodium,multiple_choice
Which element is the least electronegative?,Potassium,Titanium;Calcium,multiple_choice
Select the element with the lower electronegativity value,Vanadium,Iron,multiple_choice
Select the lower electronegativity element,Potassium,Hydrogen,multiple_choice
Select the highest electronegativity element,Fluorine,Sulfur;Chlorine,multiple_choice
Select the lowest electronegativity element,Zinc,Nickel;Iron,multiple_choice
Which element is less electronegative?,Aluminum,Carbon,multiple_choice
Select the lowest electronegativity element,Francium,Copper;Potassium,multiple_choice
Select the element with the lowest electronegativity value,Calcium,Iron;Yttrium,multiple_choice
Which element is more electronegative?,Nitrogen,Phosphorus,multiple_choice
Which element is the least electronegative?,Potassium,Aluminum;Sodium,multiple_choice
Select the element with the higher electronegativity value,Iron,Calcium,multiple_choice
Select the element with the higher electronegativity value,Boron,Beryllium,multiple_choice
Which element is the least electronegative?,Sodium,Hydrogen;Lithium,multiple_choice
Select the lower electronegativity element,Calcium,Iron,multiple_choice
Select the higher electronegativity element,Carbon,Beryllium,multiple_choice
Which element is more electronegative?,Scandium,Calcium,multiple_choice
Which element is less electronegative?,Potassium,Silicon,multiple_choice
Which element is the least electronegative?,Calcium,Chromium;Zinc,multiple_choice
Select the element with the higher electronegativity value,Iron,Scandium,multiple_choice
Which element is less electronegative?,Potassium,Chlorine,multiple_choice
Select the lowest electronegativity element,Zinc,Phosphorus;Copper,multiple_choice
Select the lowest electronegativity element,Sodium,Hydrogen;Lithium,multiple_choice
Which element is the most electronegative?,Oxygen,Zinc;Carbon,multiple_choice
Select the element with the highest electronegativity value,Chromium,Scandium;Vanadium,multiple_choice
Which element is the most electronegative?,Manganese,Calcium;Titanium,multiple_choice
Select the higher electronegativity element,Chromium,Zinc,multiple_choice
Select the highest electronegativity element,Ruthenium,Radium;Tungsten,multiple_choice
Which element is more electronegative?,Phosphorus,Potassium,multiple_choice
Which element is the least electronegative?,Francium,Silicon;Potassium,multiple_choice
Select the element with the highest electronegativity value,Palladium,Rubidium;Polonium,multiple_choice
Which element is the most electronegative?,Fluorine,Scandium;Silicon,multiple_choice
Select the element with the highest electronegativity value,Oxygen,Phosphorus;Potassium,multiple_choice
Select the element with the higher electronegativity value,Zinc,Potassium,multiple_choice
Select the element with the lower electronegativity value,Magnesium,Oxygen,multiple_choice
Select the lowest electronegativity element,Potassium,Aluminum;Magnesium,multiple_choice
Select the element with the lower electronegativity value,Silicon,Sulfur,multiple_choice
Select the element with the higher electronegativity value,Scandium,Calcium,multiple_choice
Select the element with the highest electronegativity value,Phosphorus,Titanium;Aluminum,multiple_choice
Which element is less electronegative?,Sodium,Beryllium,multiple_choice
Select the element with the highest electronegativity value,Sulfur,Scandium;Phosphorus,multiple_choice
Select the highest electronegativity element,Chlorine,Zinc;Aluminum,multiple_choice
Select the element with the highest electronegativity value,Beryllium,Lithium;Calcium,multiple_choice
Select the lowest electronegativity element,Scandium,Nitrogen;Zinc,multiple_choice
Which element is more electronegative?,Oxygen,Titanium,multiple_choice
Which element is the least electronegative?,Potassium,Chromium;Titanium,multiple_choice
Select the element with the highest electronegativity value,Manganese,Titanium;Potassium,multiple_choice
Select the element with the lowest electronegativity value,Sodium,Aluminum;Calcium,multiple_choice
Select the element with the highest electronegativity value,Carbon,Zinc;Aluminum,multiple_choice
Which element is the most electronegative?,Copper,Potassium;Francium,multiple_choice
Which element is more electronegative?,Sulfur,Titanium,multiple_choice
Select the lowest electronegativity element,Potassium,Zinc;Calcium,multiple_choice
Select the element with the lower electronegativity value,Potassium,Magnesium,multiple_choice
Which element is the least electronegative?,Sodium,Phosphorus;Scandium,multiple_choice
Select the element with the lowest electronegativity value,Cesium,Hydrogen;Lithium,multiple_choice
Select the lower electronegativity element,Iron,Cobalt,multiple_choice
Select the element with the higher electronegativity value,Fluorine,Silicon,multiple_choice
Which element is less electronegative?,Aluminum,Phosphorus,multiple_choice
Which element is the least electronegative?,Calcium,Chromium;Scandium,multiple_choice
Select the element with the lowest electronegativity value,Lithium,Boron;Magnesium,multiple_choice
Which element is more electronegative?,Titanium,Potassium,multiple_choice
Which element is the most electronegative?,Oxygen,Cesium;Cadmium,multiple_choice
Select the lower electronegativity element,Zinc,Chromium,multiple_choice
Which element is the most electronegative?,Iron,Potassium;Zinc,multiple_choice
Select the lower electronegativity element,Potassium,Titanium,multiple_choice
Select the lowest electronegativity element,Calcium,Manganese;Titanium,multiple_choice
Select the highest electronegativity element,Chromium,Scandium;Potassium,multiple_choice
Select the lower electronegativity element,Calcium,Beryllium,multiple_choice
Select the higher electronegativity element,Chromium,Calcium,multiple_choice
Select the lower electronegativity element,Radium,Scandium,multiple_choice
Select the element with the lowest electronegativity value,Francium,Chromium;Vanadium,multiple_choice
Select the lower electronegativity element,Calcium,Manganese,multiple_choice
Which element is the least electronegative?,Potassium,Aluminum;Magnesium,multiple_choice
Select the higher electronegativity element,Magnesium,Sodium,multiple_choice
Select the higher electronegativity element,Fluorine,Beryllium,multiple_choice
Select the element with the lowest electronegativity value,Francium,Mercury;Barium,multiple_choice
Which element is more electronegative?,Boron,Aluminum,multiple_choice
Which element is more electronegative?,Fluorine,Vanadium,multiple_choice
Select the element with the lower electronegativity value,Calcium,Oxygen,multiple_choice
Which element is the least electronegative?,Magnesium,Boron;Aluminum,multiple_choice
Select the higher electronegativity element,Chlorine,Chromium,multiple_choice
Select the element with the lowest electronegativity value,Calcium,Nickel;Cobalt,multiple_choice
Select the element with the lower electronegativity value,Scandium,Nickel,multiple_choice
Select the lowest electronegativity element,Magnesium,Boron;Aluminum,multiple_choice
Select the lowest electronegativity element,Scandium,Sulfur;Silicon,multiple_choice
Select the element with the highest electronegativity value,Manganese,Titanium;Yttrium,multiple_choice
Which element is less electronegative?,Manganese,Nickel,multiple_choice
Select the element with the lower electronegativity value,Calcium,Magnesium,multiple_choice
Which element is less electronegative?,Potassium,Chromium,multiple_choice
Which element is the least electronegative?,Potassium,Silicon;Calcium,multiple_choice
Which element is the most electronegative?,Titanium,Potassium;Calcium,multiple_choice
Select the element with the higher electronegativity value,Titanium,Calcium,multiple_choice
Select the element with the lowest electronegativity value,Zinc,Phosphorus;Copper,multiple_choice
Which element is more electronegative?,Calcium,Potassium,multiple_choice
Select the element with the lowest electronegativity value,Sodium,Beryllium;Calcium,multiple_choice
Which element is the least electronegative?,Sodium,Oxygen;Silicon,multiple_choice
Which element is the most electronegative?,Fluorine,Titanium;Selenium,multiple_choice
Which element is more electronegative?,Oxygen,Sodium,multiple_choice
Which element is the most electronegative?,Iron,Titanium;Potassium,multiple_choice
Which element is the least electronegative?,Lithium,Boron;Aluminum,multiple_choice
Select the lowest electronegativity element,Sodium,Nitrogen;Phosphorus,multiple_choice
Which element is the least electronegative?,Potassium,Silicon;Sodium,multiple_choice
Select the element with the lower electronegativity value,Phosphorus,Sulfur,multiple_choice
Select the highest electronegativity element,Chlorine,Vanadium;Sodium,multiple_choice
Select the lowest electronegativity element,Cesium,Chromium;Titanium,multiple_choice
Which element is less electronegative?,Vanadium,Cobalt,multiple_choice
Select the highest electronegativity element,Iron,Manganese;Vanadium,multiple_choice
Select the lower electronegativity element,Potassium,Aluminum,multiple_choice
Select the lower electronegativity element,Indium,Gallium,multiple_choice
Which element is more electronegative?,Scandium,Calcium,multiple_choice
Which element is less electronegative?,Potassium,Vanadium,multiple_choice
Select the higher electronegativity element,Chlorine,Vanadium,multiple_choice
Select the lowest electronegativity element,Scandium,Manganese;Titanium,multiple_choice
Select the lowest electronegativity element,Aluminum,Nitrogen;Phosphorus,multiple_choice
Which element is the most electronegative?,Boron,Beryllium;Potassium,multiple_choice
Select the element with the lower electronegativity value,Scandium,Titanium,multiple_choice
Select the higher electronegativity element,Copper,Potassium,multiple_choice
Select the highest electronegativity element,Carbon,Lithium;Silicon,multiple_choice
Select the highest electronegativity element,Sulfur,Calcium;Scandium,multiple_choice
Select the element with the lowest electronegativity value,Scandium,Cobalt;Titanium,multiple_choice
Select the element with the lowest electronegativity value,Potassium,Vanadium;Calcium,multiple_choice
Select the element with the lowest electronegativity value,Beryllium,Oxygen;Boron,multiple_choice
Select the lower electronegativity element,Potassium,Titanium,multiple_choice
Which element is less electronegative?,Radium,Magnesium,multiple_choice
Select the highest electronegativity element,Chlorine,Zinc;Silicon,multiple_choice
Select the lower electronegativity element,Titanium,Manganese,multiple_choice
Which element is the least electronegative?,Sodium,Boron;Zinc,multiple_choice
Select the lowest electronegativity element,Scandium,Chromium;Titanium,multiple_choice
Select the highest electronegativity element,Cobalt,Titanium;Scandium,multiple_choice
Select the lowest electronegativity element,Potassium,Manganese;Calcium,multiple_choice
Select the lower electronegativity element,Titanium,Chromium,multiple_choice
Select the element with the lowest electronegativity value,Sodium,Aluminum;Magnesium,multiple_choice
Which element is the least electronegative?,Potassium,Aluminum;Strontium,multiple_choice
Select the element with the lowest electronegativity value,Zinc,Cobalt;Iron,multiple_choice
Select the lower electronegativity element,Sodium,Carbon,multiple_choice
Select the element with the highest electronegativity value,Vanadium,Calcium;Potassium,multiple_choice
Select the element with the highest electronegativity value,Cobalt,Potassium;Titanium,multiple_choice
Select the element with the lowest electronegativity value,Calcium,Manganese;Titanium,multiple_choice
Select the element with the higher electronegativity value,Copper,Potassium,multiple_choice
Select the element with the lower electronegativity value,Potassium,Scandium,multiple_choice
Select the element with the higher electronegativity value,Beryllium,Lithium,multiple_choice
Select the element with the lowest electronegativity value,Zinc,Sulfur;Copper,multiple_choice
Which element is more electronegative?,Manganese,Scandium,multiple_choice
Select the higher electronegativity element,Vanadium,Rubidium,multiple_choice
Which element is the least electronegative?,Potassium,Zinc;Calcium,multiple_choice
Select the element with the higher electronegativity value,Manganese,Titanium,multiple_choice
Select the higher electronegativity element,Copper,Potassium,multiple_choice
Select the higher electronegativity element,Nitrogen,Titanium,multiple_choice
Select the element with the higher electronegativity value,Vanadium,Scandium,multiple_choice
Select the element with the lowest electronegativity value,Potassium,Manganese;Scandium,multiple_choice
Select the lower electronegativity element,Sodium,Hydrogen,multiple_choice
Select the element with the lowest electronegativity value,Scandium,Vanadium;Titanium,multiple_choice
Select the higher electronegativity element,Phosphorus,Scandium,multiple_choice
Which element is less electronegative?,Sodium,Carbon,multiple_choice
Select the lower electronegativity element,Vanadium,Chromium,multiple_choice
Select the element with the highest electronegativity value,Nickel,Scandium;Manganese,multiple_choice
Select the higher electronegativity element,Sulfur,Aluminum,multiple_choice
Which element is the least electronegative?,Calcium,Manganese;Titanium,multiple_choice
Which element is the most electronegative?,Aluminum,Potassium;Magnesium,multiple_choice
Which element is the most electronegative?,Phosphorus,Scandium;Aluminum,multiple_choice
Which element is more electronegative?,Oxygen,Aluminum,multiple_choice
Which element is less electronegative?,Scandium,Chromium,multiple_choice
Select the element with the higher electronegativity value,Titanium,Potassium,multiple_choice
Which element is the least electronegative?,Copper,Nitrogen;Carbon,multiple_choice
Select the element with the lower electronegativity value,Copper,Oxygen,multiple_choice
Select the element with the highest electronegativity value,Chlorine,Phosphorus;Potassium,multiple_choice
Select the lowest electronegativity element,Cesium,Copper;Potassium,multiple_choice
Which element is less electronegative?,Radium,Lanthanum,multiple_choice
Which element is the least electronegative?,Aluminum,Phosphorus;Zinc,multiple_choice
Which element is more electronegative?,Magnesium,Sodium,multiple_choice
Which element is less electronegative?,Potassium,Copper,multiple_choice
Which element is less electronegative?,Scandium,Titanium,multiple_choice
Which element is the most electronegative?,Aluminum,Sodium;Magnesium,multiple_choice
Select the lowest electronegativity element,Potassium,Aluminum;Magnesium,multiple_choice
Select the higher electronegativity element,Manganese,Calcium,multiple_choice
Select the higher electronegativity element,Zinc,Potassium,multiple_choice
Which element is less electronegative?,Potassium,Calcium,multiple_choice
Select the element with the lower electronegativity value,Calcium,Scandium,multiple_choice
Select the lower electronegativity element,Oxygen,Fluorine,multiple_choice
Select the higher electronegativity element,Chromium,Vanadium,multiple_choice
Select the element with the highest electronegativity value,Aluminum,Calcium;Sodium,multiple_choice
Select the element with the highest electronegativity value,Astatine,Polonium;Lead,multiple_choice
Select the lowest electronegativity element,Calcium,Iron;Scandium,multiple_choice
