#"+ EIC(78.0) Scan tube3HHW.D "
#Point,X(Minutes),Y(Counts)
249,2.884,2090
250,2.894,1856
251,2.903,1833
252,2.912,1860
253,2.921,1829
254,2.930,1767
255,2.939,1670
256,2.949,1773
257,2.958,1673
258,2.967,1798
259,2.976,1705
260,2.985,1975
261,2.995,2037
262,3.004,1732
263,3.013,1718
264,3.022,1844
265,3.031,1874
266,3.041,1716
267,3.050,1633
268,3.059,1675
269,3.068,1777
270,3.077,1871
271,3.087,1632
272,3.096,1723
273,3.105,1784
274,3.114,1681
275,3.123,1941
276,3.132,1851
277,3.142,1617
278,3.151,1688
279,3.160,1722
280,3.169,1622
281,3.178,1640
282,3.188,1705
283,3.197,1904
284,3.206,1734
285,3.215,1793
286,3.224,1753
287,3.234,1828
288,3.243,1670
289,3.252,1678
290,3.261,2060
291,3.270,1632
292,3.279,1751
293,3.289,1638
294,3.298,1615
295,3.307,1576
296,3.316,1776
297,3.325,1840
298,3.335,1736
299,3.344,1880
300,3.353,1719
301,3.362,1732
302,3.371,1852
303,3.381,1736
304,3.390,1921
305,3.399,1691
306,3.408,1690
307,3.417,1619
308,3.427,1786
309,3.436,1799
310,3.445,1943
311,3.454,1583
312,3.463,1746
313,3.472,1706
314,3.482,1601
315,3.491,1540
316,3.500,1684
317,3.509,1476
318,3.518,1745
319,3.528,1763
320,3.537,1795
321,3.546,1487
322,3.555,1707
323,3.564,1594
324,3.574,1690
325,3.583,1659
326,3.592,1709
327,3.601,1426
328,3.610,1575
329,3.620,1546
330,3.629,1652
331,3.638,1572
332,3.647,1761
333,3.656,1767
334,3.665,1830
335,3.675,1722
336,3.684,1639
337,3.693,1816
338,3.702,1645
339,3.711,1603
340,3.721,1838
341,3.730,1671
342,3.739,1599
343,3.748,1497
344,3.757,1554
345,3.767,1559
346,3.776,1579
347,3.785,1643
348,3.794,1698
349,3.803,1688
350,3.812,1766
351,3.822,1588
352,3.831,1639
353,3.840,1593
354,3.849,1465
355,3.858,1606
356,3.868,1619
357,3.877,1647
358,3.886,1535
359,3.895,1928
360,3.904,1576
361,3.914,1585
362,3.923,1601
363,3.932,1842
364,3.941,1476
365,3.950,1637
366,3.960,1783
367,3.969,1733
368,3.978,1839
369,3.987,1548
370,3.996,1449
371,4.005,1441
372,4.015,1429
373,4.024,1542
374,4.033,1686
375,4.042,1506
376,4.051,1578
377,4.061,1354
378,4.070,1585
379,4.079,1650
380,4.088,1513
381,4.097,1499
382,4.107,1536
383,4.116,1358
384,4.125,1334
385,4.134,1615
386,4.143,1460
387,4.153,1510
388,4.162,1527
389,4.171,1429
390,4.180,1404
391,4.189,1616
392,4.198,1296
393,4.208,1591
394,4.217,1499
395,4.226,1599
396,4.235,1772
397,4.244,1710
398,4.254,1588
399,4.263,1533
400,4.272,1562
401,4.281,1619
402,4.290,1791
403,4.300,1636
404,4.309,1427
405,4.318,1486
406,4.327,1443
407,4.336,1502
408,4.345,1587
409,4.355,1648
410,4.364,1403
411,4.373,1603
412,4.382,1434
413,4.391,1407
414,4.401,1542
415,4.410,1520
416,4.419,1439
417,4.428,1637
418,4.437,1402
419,4.447,1399
420,4.456,1432
421,4.465,1491
422,4.474,1482
423,4.483,1392
424,4.493,1645
425,4.502,1457
426,4.511,1534
427,4.520,1499
428,4.529,1786
429,4.538,1771
430,4.548,1431
431,4.557,1467
432,4.566,1378
433,4.575,1469
434,4.584,1533
435,4.594,1329
436,4.603,1397
437,4.612,1509
438,4.621,1372
439,4.630,1665
440,4.640,1340
441,4.649,1343
442,4.658,1477
443,4.667,1522
444,4.676,1534
445,4.686,1381
446,4.695,1387
447,4.704,1557
448,4.713,1404
449,4.722,1266
450,4.731,1336
451,4.741,1556
452,4.750,1464
453,4.759,1410
454,4.768,1429
455,4.777,1435
456,4.787,1438
457,4.796,1537
458,4.805,1691
459,4.814,1516
460,4.823,1418
461,4.833,1339
462,4.842,1526
463,4.851,1405
464,4.860,1294
465,4.869,1429
466,4.879,1495
467,4.888,1427
468,4.897,1674
469,4.906,1636
470,4.915,1671
471,4.924,1384
472,4.934,1470
473,4.943,1337
474,4.952,1516
475,4.961,1301
476,4.970,1660
477,4.980,1476
478,4.989,1850
479,4.998,1342
480,5.007,1419
481,5.016,1453
482,5.026,1521
483,5.035,1642
484,5.044,1490
485,5.053,1468
486,5.062,1424
487,5.071,1316
488,5.081,1399
489,5.090,1465
490,5.099,1316
491,5.108,1450
492,5.117,1402
493,5.127,1419
494,5.136,1617
495,5.145,1440
496,5.154,1375
497,5.163,1403
498,5.173,1413
499,5.182,1456
500,5.191,1474
501,5.200,1600
502,5.209,1451
503,5.219,1247
504,5.228,1237
505,5.237,1466
506,5.246,1466
507,5.255,1433
508,5.264,1471
509,5.274,1537
510,5.283,1292
511,5.292,1283
512,5.301,1546
513,5.310,1569
514,5.320,1464
515,5.329,1472
516,5.338,1452
517,5.347,1466
518,5.356,1359
519,5.366,1438
520,5.375,1345
521,5.384,1425
522,5.393,1617
523,5.402,1371
524,5.412,1516
525,5.421,1314
526,5.430,1464
527,5.439,1471
528,5.448,1268
529,5.457,1394
530,5.467,1286
531,5.476,1362
532,5.485,1388
533,5.494,1372
534,5.503,1507
535,5.513,1355
536,5.522,1506
537,5.531,1347
538,5.540,1301
539,5.549,1426
540,5.559,1460
541,5.568,1420
542,5.577,1528
543,5.586,1734
544,5.595,1209
545,5.604,1465
546,5.614,1264
547,5.623,1576
548,5.632,1222
549,5.641,1217
550,5.650,1484
551,5.660,1181
552,5.669,1289
553,5.678,1478
554,5.687,1494
555,5.696,1360
556,5.706,1341
557,5.715,1427
558,5.724,1222
559,5.733,1504
560,5.742,1403
561,5.752,1253
562,5.761,1216
563,5.770,1598
564,5.779,1416
565,5.788,1466
566,5.797,1430
567,5.807,1309
568,5.816,1371
569,5.825,1100
570,5.834,1338
571,5.843,1232
572,5.853,1267
573,5.862,1343
574,5.871,1239
575,5.880,1400
576,5.889,1509
577,5.899,1403
578,5.908,1378
579,5.917,1270
580,5.926,1424
581,5.935,1463
582,5.945,1235
583,5.954,1445
584,5.963,1578
585,5.972,1390
586,5.981,1315
587,5.990,1474
588,6.000,1347
589,6.009,1505
590,6.018,1377
591,6.027,1532
592,6.036,1418
593,6.046,1293
594,6.055,1474
595,6.064,1242
596,6.073,1371
597,6.082,1464
598,6.092,1254
599,6.101,1231
600,6.110,1342
601,6.119,1285
602,6.128,1472
603,6.137,1202
604,6.147,1386
605,6.156,1333
606,6.165,1369
607,6.174,1356
608,6.183,1335
609,6.193,1194
610,6.202,915
611,6.211,526
612,6.220,437
613,6.229,492
614,6.239,268
615,6.248,249
616,6.257,285
617,6.266,281
618,6.275,280
619,6.285,345
620,6.294,264
621,6.303,371
622,6.312,191
623,6.321,389
624,6.330,339
625,6.340,350
626,6.349,326
627,6.358,372
628,6.367,354
629,6.376,455
630,6.386,414
631,6.395,522
632,6.404,409
633,6.413,481
634,6.422,404
635,6.432,546
636,6.441,443
637,6.450,491
638,6.459,512
639,6.468,606
640,6.478,695
641,6.487,661
642,6.496,567
643,6.505,774
644,6.514,692
645,6.523,669
646,6.533,671
647,6.542,618
648,6.551,682
649,6.560,665
650,6.569,798
651,6.579,738
652,6.588,727
653,6.597,681
654,6.606,565
655,6.615,603
656,6.625,642
657,6.634,881
658,6.643,613
659,6.652,735
660,6.661,709
661,6.670,819
662,6.680,690
663,6.689,783
664,6.698,622
665,6.707,936
666,6.716,661
667,6.726,934
668,6.735,799
669,6.744,895
670,6.753,801
671,6.762,768
672,6.772,853
673,6.781,795
674,6.790,815
675,6.799,664
676,6.808,992
677,6.818,940
678,6.827,827
679,6.836,934
680,6.845,788
681,6.854,864
682,6.863,933
683,6.873,989
684,6.882,959
685,6.891,1065
686,6.900,1188
687,6.909,1120
688,6.919,1083
689,6.928,1051
690,6.937,1025
691,6.946,1019
692,6.955,1021
693,6.965,1175
694,6.974,1031
695,6.983,1003
696,6.992,1086
697,7.001,1111
698,7.011,1121
699,7.020,1085
700,7.029,891
701,7.038,1066
702,7.047,1143
703,7.056,1191
704,7.066,1095
705,7.075,1067
706,7.084,1071
707,7.093,1213
708,7.102,1263
709,7.112,1214
710,7.121,1177
711,7.130,1002
712,7.139,1095
713,7.148,1183
714,7.158,1271
715,7.167,1232
716,7.176,1296
717,7.185,1223
718,7.194,1063
719,7.203,1283
720,7.213,1347
721,7.222,1366
722,7.231,1399
723,7.240,1169
724,7.249,1255
725,7.259,1195
726,7.268,1073
727,7.277,1185
728,7.286,1018
729,7.295,1229
730,7.305,1289
731,7.314,1314
732,7.323,1179
733,7.332,1099
734,7.341,1326
735,7.351,1207
736,7.360,1329
737,7.369,1212
738,7.378,1209
739,7.387,1260
740,7.396,1254
741,7.406,1425
742,7.415,1288
743,7.424,1174
744,7.433,1035
745,7.442,1174
746,7.452,1214
747,7.461,1335
748,7.470,1255
749,7.479,1224
750,7.488,1318
751,7.498,1305
752,7.507,1239
753,7.516,1338
754,7.525,1229
755,7.534,1157
756,7.544,1344
757,7.553,1222
758,7.562,1121
759,7.571,1305
760,7.580,1385
761,7.589,1095
762,7.599,1243
763,7.608,1136
764,7.617,956
765,7.626,1200
766,7.635,1239
767,7.645,1270
768,7.654,1304
769,7.663,1256
770,7.672,1023
771,7.681,1054
772,7.691,1259
773,7.700,1222
774,7.709,1151
775,7.718,1104
776,7.727,1118
777,7.737,1083
778,7.746,926
779,7.755,1269
780,7.764,1177
781,7.773,1293
782,7.782,1013
783,7.792,1209
784,7.801,1159
785,7.810,990
786,7.819,1225
787,7.828,1291
788,7.838,1036
789,7.847,1076
790,7.856,1164
791,7.865,1083
792,7.874,1157
793,7.884,1262
794,7.893,1229
795,7.902,1075
796,7.911,961
797,7.920,1090
798,7.929,1131
799,7.939,1198
800,7.948,1190
801,7.957,1182
802,7.966,1285
803,7.975,1112
804,7.985,1258
805,7.994,1195
806,8.003,1262
807,8.012,1459
808,8.021,1592
809,8.031,1483
810,8.040,1823
811,8.049,1608
812,8.058,1758
813,8.067,1692
814,8.077,1894
815,8.086,1849
816,8.095,1979
817,8.104,1944
818,8.113,1707
819,8.122,2076
820,8.132,1808
821,8.141,1832
822,8.150,1850
823,8.159,1903
824,8.168,1908
825,8.178,2176
826,8.187,1943
827,8.196,2300
828,8.205,2112
829,8.214,2169
830,8.224,2115
831,8.233,2234
832,8.242,2026
833,8.251,2172
834,8.260,2173
835,8.270,2068
836,8.279,2077
837,8.288,2365
838,8.297,2237
839,8.306,2224
840,8.315,2030
841,8.325,2031
842,8.334,2266
843,8.343,2470
844,8.352,2353
845,8.361,2326
846,8.371,2393
847,8.380,2240
848,8.389,2144
849,8.398,2600
850,8.407,2257
851,8.417,2139
852,8.426,2255
853,8.435,2175
854,8.444,2117
855,8.453,2490
856,8.462,2428
857,8.472,2351
858,8.481,2273
859,8.490,2319
860,8.499,2138
861,8.508,2420
862,8.518,2676
863,8.527,2485
864,8.536,2247
865,8.545,2363
866,8.554,2425
867,8.564,2475
868,8.573,2326
869,8.582,2451
870,8.591,2491
871,8.600,2487
872,8.610,2758
873,8.619,2484
874,8.628,2771
875,8.637,2634
876,8.646,2737
877,8.655,2881
878,8.665,2744
879,8.674,2667
880,8.683,2821
881,8.692,2564
882,8.701,2441
883,8.711,2538
884,8.720,2751
885,8.729,2435
886,8.738,2833
887,8.747,2702
888,8.757,2747
889,8.766,2576
890,8.775,2567
891,8.784,2772
892,8.793,2735
893,8.803,2602
894,8.812,2511
895,8.821,2840
896,8.830,2406
897,8.839,2499
898,8.848,2750
899,8.858,2718
900,8.867,2674
901,8.876,2516
902,8.885,2671
903,8.894,2559
904,8.904,2749
905,8.913,2520
906,8.922,2664
907,8.931,2758
908,8.940,2749
909,8.950,2765
910,8.959,2587
911,8.968,2660
912,8.977,2711
913,8.986,2632
914,8.995,2751
915,9.005,2722
916,9.014,2552
917,9.023,2613
918,9.032,2914
919,9.041,2574
920,9.051,3006
921,9.060,2752
922,9.069,2739
923,9.078,2527
924,9.087,2854
925,9.097,2725
926,9.106,2625
927,9.115,2490
928,9.124,3126
929,9.133,2914
930,9.143,2780
931,9.152,3078
932,9.161,2785
933,9.170,2525
934,9.179,2694
935,9.188,2493
936,9.198,2837
937,9.207,2656
938,9.216,2528
939,9.225,2553
940,9.234,2590
941,9.244,2602
942,9.253,2616
943,9.262,2529
944,9.271,2694
945,9.280,2845
946,9.290,2608
947,9.299,2776
948,9.308,2572
949,9.317,2689
950,9.326,2829
951,9.336,2531
952,9.345,2735
953,9.354,2570
954,9.363,2412
955,9.372,2694
956,9.381,2690
957,9.391,2550
958,9.400,2582
959,9.409,2696
960,9.418,2523
961,9.427,2574
962,9.437,2771
963,9.446,2511
964,9.455,2489
965,9.464,2564
966,9.473,2596
967,9.483,2440
968,9.492,2730
969,9.501,2637
970,9.510,2535
971,9.519,2611
972,9.528,2722
973,9.538,2462
974,9.547,2528
975,9.556,2552
976,9.565,2657
977,9.574,2434
978,9.584,2348
979,9.593,2347
980,9.602,2350
981,9.611,2756
982,9.620,2321
983,9.630,2593
984,9.639,2680
985,9.648,2425
986,9.657,2308
987,9.666,2595
988,9.676,2622
989,9.685,2590
990,9.694,2331
991,9.703,2536
992,9.712,2386
993,9.721,2442
994,9.731,2297
995,9.740,2535
996,9.749,2200
997,9.758,2325
998,9.767,2558
999,9.777,2484
1000,9.786,2392
1001,9.795,2166
1002,9.804,2329
1003,9.813,2243
1004,9.823,2390
1005,9.832,2259
1006,9.841,2449
1007,9.850,2390
1008,9.859,2409
1009,9.869,2434
1010,9.878,2534
1011,9.887,2089
1012,9.896,2257
1013,9.905,2196
1014,9.914,2177
1015,9.924,2331
1016,9.933,2287
1017,9.942,2314
1018,9.951,2314
1019,9.960,2219
1020,9.970,2244
1021,9.979,2454
1022,9.988,2512
1023,9.997,2188
1024,10.006,2419
1025,10.016,2278
1026,10.025,2039
1027,10.034,2106
1028,10.043,2592
1029,10.052,2310
1030,10.061,2237
1031,10.071,2291
1032,10.080,2348
1033,10.089,2382
1034,10.098,2012
1035,10.107,2196
1036,10.117,2090
1037,10.126,2319
1038,10.135,2148
1039,10.144,2272
1040,10.153,2207
1041,10.163,2145
1042,10.172,2090
1043,10.181,2066
1044,10.190,2229
1045,10.199,2244
1046,10.209,2113
1047,10.218,1792
1048,10.227,2151
1049,10.236,1932
1050,10.245,2296
1051,10.254,2161
1052,10.264,2407
1053,10.273,2221
1054,10.282,2210
1055,10.291,2243
1056,10.300,2252
1057,10.310,2303
1058,10.319,2103
1059,10.328,1949
1060,10.337,2112
1061,10.346,2170
1062,10.356,2139
1063,10.365,2202
1064,10.374,2253
1065,10.383,2198
1066,10.392,2128
1067,10.402,2156
1068,10.411,2327
1069,10.420,2009
1070,10.429,2185
1071,10.438,2093
1072,10.447,2207
1073,10.457,2318
1074,10.466,2241
1075,10.475,2350
1076,10.484,1879
1077,10.493,2063
1078,10.503,2124
1079,10.512,2118
1080,10.521,2024
1081,10.530,2181
1082,10.539,2054
1083,10.549,2152
1084,10.558,2318
1085,10.567,2094
1086,10.576,2167
1087,10.585,2044
1088,10.594,1982
1089,10.604,2181
1090,10.613,2076
1091,10.622,2092
1092,10.631,2082
1093,10.640,2328
1094,10.650,2105
1095,10.659,2043
1096,10.668,2072
1097,10.677,1951
1098,10.686,1962
1099,10.696,1998
1100,10.705,2145
1101,10.714,2228
1102,10.723,2008
1103,10.732,2014
1104,10.742,1961
1105,10.751,1793
1106,10.760,2136
1107,10.769,2009
1108,10.778,2083
1109,10.787,2127
1110,10.797,1945
1111,10.806,2020
1112,10.815,1932
1113,10.824,1777
1114,10.833,1962
1115,10.843,2360
1116,10.852,2007
1117,10.861,2190
1118,10.870,1885
1119,10.879,2207
1120,10.889,2176
1121,10.898,2073
1122,10.907,1901
1123,10.916,1995
1124,10.925,1938
1125,10.935,2065
1126,10.944,1824
1127,10.953,1970
1128,10.962,1939
1129,10.971,2179
1130,10.980,1819
1131,10.990,1870
1132,10.999,1870
1133,11.008,1903
1134,11.017,1788
1135,11.026,1920
1136,11.036,1790
1137,11.045,1932
1138,11.054,1784
1139,11.063,1812
1140,11.072,1907
1141,11.082,1962
1142,11.091,1941
1143,11.100,2092
1144,11.109,1812
1145,11.118,1931
1146,11.128,2043
1147,11.137,1969
1148,11.146,1945
1149,11.155,1930
1150,11.164,1862
1151,11.173,1779
1152,11.183,1988
1153,11.192,1917
1154,11.201,1875
1155,11.210,1766
1156,11.219,1997
1157,11.229,1981
1158,11.238,1831
1159,11.247,1781
1160,11.256,1850
1161,11.265,1826
1162,11.275,1722
1163,11.284,1818
1164,11.293,1756
1165,11.302,1760
1166,11.311,1769
1167,11.320,1830
1168,11.330,2073
1169,11.339,1663
1170,11.348,1675
1171,11.357,1802
1172,11.366,1729
1173,11.376,1882
1174,11.385,1741
1175,11.394,1826
1176,11.403,1948
1177,11.412,1793
1178,11.422,1761
1179,11.431,2020
1180,11.440,1674
1181,11.449,1810
1182,11.458,1856
1183,11.468,1933
1184,11.477,1822
1185,11.486,1762
1186,11.495,1849
1187,11.504,1946
1188,11.513,1771
1189,11.523,1749
1190,11.532,2014
1191,11.541,1771
1192,11.550,1829
1193,11.559,1577
1194,11.569,1532
1195,11.578,1727
1196,11.587,1827
1197,11.596,2019
1198,11.605,1764
1199,11.615,1848
1200,11.624,1743
1201,11.633,1579
1202,11.642,1813
1203,11.651,1977
1204,11.661,1803
1205,11.670,1647
1206,11.679,1697
1207,11.688,1900
1208,11.697,1920
1209,11.706,1674
1210,11.716,1615
1211,11.725,1949
1212,11.734,1638
1213,11.743,1796
1214,11.752,1889
1215,11.762,1936
1216,11.771,1873
1217,11.780,1794
1218,11.789,1588
1219,11.798,1897
1220,11.808,1691
1221,11.817,1698
1222,11.826,1615
1223,11.835,1846
1224,11.844,1635
1225,11.853,1646
1226,11.863,1789
1227,11.872,1682
1228,11.881,1838
1229,11.890,1780
1230,11.899,1767
1231,11.909,1790
1232,11.918,1728
1233,11.927,1780
1234,11.936,1866
1235,11.945,1905
1236,11.955,1885
1237,11.964,1704
1238,11.973,1799
1239,11.982,1888
1240,11.991,1553
1241,12.001,1653
1242,12.010,1619
1243,12.019,1758
1244,12.028,1741
1245,12.037,1661
1246,12.046,1537
1247,12.056,1718
1248,12.065,1718
1249,12.074,1858
1250,12.083,1602
1251,12.092,1826
1252,12.102,1817
1253,12.111,1810
1254,12.120,1818
1255,12.129,1836
1256,12.138,1556
1257,12.148,1586
1258,12.157,1717
1259,12.166,1815
1260,12.175,1785
1261,12.184,1937
1262,12.194,1993
1263,12.203,1831
1264,12.212,1682
1265,12.221,2095
1266,12.230,2062
1267,12.239,1771
1268,12.249,1945
1269,12.258,1820
1270,12.267,1845
1271,12.276,1672
1272,12.285,1972
1273,12.295,1804
1274,12.304,1813
1275,12.313,1962
1276,12.322,1938
1277,12.331,1720
1278,12.341,1999
1279,12.350,1829
1280,12.359,1808
1281,12.368,2087
1282,12.377,1922
1283,12.386,2059
1284,12.396,1768
1285,12.405,2062
1286,12.414,1815
1287,12.423,1694
1288,12.432,1739
1289,12.442,1862
1290,12.451,1699
1291,12.460,1825
1292,12.469,1846
1293,12.478,1805
1294,12.488,1897
1295,12.497,1841
1296,12.506,1915
1297,12.515,1748
1298,12.524,1665
1299,12.534,2011
1300,12.543,1915
1301,12.552,1821
1302,12.561,1909
1303,12.570,1871
1304,12.579,1950
1305,12.589,1808
1306,12.598,1907
1307,12.607,1882
1308,12.616,2022
1309,12.625,1729
1310,12.635,1754
1311,12.644,1750
1312,12.653,1785
1313,12.662,1864
1314,12.671,1854
1315,12.681,1918
1316,12.690,1845
1317,12.699,2288
1318,12.708,2118
1319,12.717,2162
1320,12.727,1803
1321,12.736,1895
1322,12.745,1663
1323,12.754,1995
1324,12.763,1999
1325,12.772,1879
1326,12.782,2046
1327,12.791,1888
1328,12.800,1811
1329,12.809,2116
1330,12.818,1931
1331,12.828,2068
1332,12.837,1821
1333,12.846,1978
1334,12.855,1957
1335,12.864,1886
1336,12.874,1796
1337,12.883,1859
1338,12.892,1902
1339,12.901,2060
1340,12.910,1909
1341,12.919,1959
1342,12.929,2016
1343,12.938,2075
1344,12.947,2000
1345,12.956,2232
1346,12.965,1922
1347,12.975,2431
1348,12.984,1839
1349,12.993,1931
1350,13.002,2068
1351,13.011,2133
1352,13.021,2428
1353,13.030,1943
1354,13.039,2111
1355,13.048,2248
1356,13.057,2185
1357,13.067,2227
1358,13.076,2160
1359,13.085,2086
1360,13.094,2488
1361,13.103,2456
1362,13.112,2429
1363,13.122,2074
1364,13.131,2184
1365,13.140,2678
1366,13.149,2302
1367,13.158,2542
1368,13.168,2621
1369,13.177,2321
1370,13.186,2478
1371,13.195,2324
1372,13.204,2551
1373,13.214,2726
1374,13.223,2442
1375,13.232,2521
1376,13.241,2560
1377,13.250,2443
1378,13.260,2826
1379,13.269,2896
1380,13.278,3275
1381,13.287,3019
1382,13.296,3063
1383,13.305,3135
1384,13.315,2794
1385,13.324,3416
1386,13.333,3283
1387,13.342,3150
1388,13.351,3410
1389,13.361,3276
1390,13.370,3380
1391,13.379,3223
1392,13.388,3451
1393,13.397,3607
1394,13.407,3420
1395,13.416,3659
1396,13.425,4021
1397,13.434,4095
1398,13.443,3858
1399,13.452,4213
1400,13.462,4003
1401,13.471,4504
1402,13.480,4402
1403,13.489,4187
1404,13.498,4002
1405,13.508,4579
1406,13.517,4188
1407,13.526,4811
1408,13.535,4479
1409,13.544,4867
1410,13.554,4554
1411,13.563,4488
1412,13.572,4923
1413,13.581,4585
1414,13.590,5133
1415,13.600,5084
1416,13.609,4947
1417,13.618,5361
1418,13.627,5221
1419,13.636,5355
1420,13.645,5230
1421,13.655,5519
1422,13.664,4809
1423,13.673,5178
1424,13.682,5150
1425,13.691,4946
1426,13.701,5135
1427,13.710,5068
1428,13.719,4831
1429,13.728,5378
1430,13.737,5151
1431,13.747,4418
1432,13.756,5081
1433,13.765,4620
1434,13.774,5092
1435,13.783,4947
1436,13.793,4554
1437,13.802,4624
1438,13.811,4688
1439,13.820,4677
1440,13.829,4392
1441,13.838,4563
1442,13.848,4351
1443,13.857,4183
1444,13.866,4709
1445,13.875,4284
1446,13.884,4280
1447,13.894,4288
1448,13.903,3913
1449,13.912,4129
1450,13.921,3629
1451,13.930,3894
1452,13.940,3793
1453,13.949,4069
1454,13.958,3609
1455,13.967,4255
1456,13.976,3964
1457,13.985,4073
1458,13.995,3757
1459,14.004,3846
1460,14.013,3198
1461,14.022,3474
1462,14.031,3673
1463,14.041,3524
1464,14.050,3537
1465,14.059,3131
1466,14.068,3512
1467,14.077,3188
1468,14.087,3322
1469,14.096,3421
1470,14.105,3314
1471,14.114,3029
1472,14.123,3151
1473,14.133,3178
1474,14.142,3334
1475,14.151,3205
1476,14.160,2806
1477,14.169,3080
1478,14.178,2929
1479,14.188,2853
1480,14.197,2973
1481,14.206,3024
1482,14.215,2957
1483,14.224,3000
1484,14.234,2914
1485,14.243,3103
1486,14.252,3233
1487,14.261,2887
1488,14.270,2731
1489,14.280,2854
1490,14.289,2915
1491,14.298,3014
1492,14.307,3016
1493,14.316,2726
1494,14.326,2886
1495,14.335,2812
1496,14.344,2807
1497,14.353,2840
1498,14.362,2434
